time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,1.516187,-1.519689,0.998287,-0.076937,0.098523,0.012392,1.505016,0.001282,1.002140,-0.024314,0.002471,0.020136,1.514600,1.514784,0.999805,-0.076592,-0.116681,0.041791,-0.005052,-1.508029,0.999731,0.020425,0.010824,0.048252,0.029778,-0.010686,1.000483,-0.171378,0.062430,0.000060,-0.005254,1.502417,1.001739,0.029355,-0.054902,0.042430,-1.523437,-1.507655,0.999431,0.088795,0.026682,0.006618,-1.510831,0.013134,0.996125,0.039684,-0.055085,0.032969,-1.528503,1.513143,1.000025,0.120487,-0.056660,0.009012
0.012500,1.515226,-1.518457,0.998442,-0.076945,0.098535,0.012394,1.504712,0.001313,1.002391,-0.024313,0.002470,0.020135,1.513642,1.513325,1.000327,-0.076599,-0.116690,0.041792,-0.004797,-1.507894,1.000334,0.020429,0.010827,0.048253,0.027635,-0.009905,1.000484,-0.171402,0.062439,0.000061,-0.004887,1.501730,1.002270,0.029358,-0.054900,0.042430,-1.522327,-1.507321,0.999513,0.088808,0.026685,0.006619,-1.510335,0.012446,0.996537,0.039688,-0.055095,0.032973,-1.526997,1.512434,1.000138,0.120504,-0.056668,0.009013
0.025000,1.514264,-1.517226,0.998597,-0.076969,0.098571,0.012401,1.504408,0.001343,1.002643,-0.024310,0.002467,0.020132,1.512685,1.511867,1.000850,-0.076619,-0.116714,0.041795,-0.004541,-1.507758,1.000937,0.020439,0.010834,0.048256,0.025492,-0.009125,1.000485,-0.171474,0.062465,0.000062,-0.004520,1.501044,1.002800,0.029369,-0.054894,0.042428,-1.521217,-1.506988,0.999596,0.088850,0.026694,0.006623,-1.509839,0.011757,0.996949,0.039698,-0.055124,0.032984,-1.525490,1.511726,1.000250,0.120557,-0.056690,0.009015
0.037500,1.513301,-1.515993,0.998752,-0.077009,0.098631,0.012411,1.504104,0.001374,1.002895,-0.024306,0.002462,0.020128,1.511727,1.510408,1.001372,-0.076653,-0.116755,0.041800,-0.004286,-1.507623,1.001541,0.020456,0.010847,0.048261,0.023348,-0.008344,1.000485,-0.171595,0.062508,0.000064,-0.004153,1.500358,1.003330,0.029388,-0.054885,0.042425,-1.520106,-1.506654,0.999679,0.088918,0.026710,0.006629,-1.509343,0.011068,0.997361,0.039717,-0.055172,0.033003,-1.523982,1.511017,1.000363,0.120646,-0.056727,0.009019
0.050000,1.512338,-1.514760,0.998908,-0.077065,0.098716,0.012426,1.503800,0.001405,1.003146,-0.024300,0.002455,0.020122,1.510768,1.508948,1.001895,-0.076700,-0.116813,0.041807,-0.004030,-1.507487,1.002144,0.020481,0.010864,0.048267,0.021202,-0.007562,1.000486,-0.171764,0.062569,0.000067,-0.003785,1.499672,1.003860,0.029413,-0.054872,0.042420,-1.518993,-1.506320,0.999762,0.089014,0.026732,0.006638,-1.508846,0.010378,0.997774,0.039742,-0.055240,0.033030,-1.522474,1.510308,1.000476,0.120769,-0.056779,0.009024
0.062500,1.511375,-1.513525,0.999063,-0.077137,0.098824,0.012446,1.503496,0.001436,1.003398,-0.024293,0.002446,0.020114,1.509809,1.507487,1.002418,-0.076761,-0.116886,0.041815,-0.003774,-1.507351,1.002747,0.020512,0.010887,0.048276,0.019054,-0.006779,1.000487,-0.171982,0.062647,0.000071,-0.003417,1.498986,1.004391,0.029446,-0.054855,0.042415,-1.517880,-1.505986,0.999845,0.089137,0.026761,0.006649,-1.508349,0.009686,0.998187,0.039775,-0.055327,0.033064,-1.520963,1.509597,1.000589,0.120928,-0.056847,0.009031
0.075000,1.510410,-1.512289,0.999219,-0.077225,0.098956,0.012469,1.503193,0.001466,1.003649,-0.024284,0.002435,0.020104,1.508849,1.506025,1.002940,-0.076835,-0.116977,0.041826,-0.003517,-1.507215,1.003351,0.020551,0.010915,0.048286,0.016903,-0.005996,1.000488,-0.172248,0.062742,0.000076,-0.003049,1.498301,1.004921,0.029486,-0.054835,0.042408,-1.516765,-1.505651,0.999928,0.089287,0.026796,0.006662,-1.507852,0.008994,0.998601,0.039815,-0.055433,0.033106,-1.519450,1.508886,1.000702,0.121122,-0.056929,0.009040
0.087500,1.509444,-1.511051,0.999375,-0.077329,0.099113,0.012497,1.502889,0.001496,1.003900,-0.024273,0.002422,0.020093,1.507888,1.504563,1.003463,-0.076923,-0.117083,0.041838,-0.003260,-1.507078,1.003955,0.020596,0.010947,0.048298,0.014748,-0.005211,1.000489,-0.172562,0.062855,0.000081,-0.002680,1.497615,1.005451,0.029534,-0.054810,0.042399,-1.515648,-1.505316,1.000011,0.089465,0.026837,0.006679,-1.507354,0.008301,0.999015,0.039862,-0.055559,0.033155,-1.517935,1.508174,1.000815,0.121351,-0.057026,0.009050
0.100000,1.508477,-1.509811,0.999531,-0.077449,0.099293,0.012529,1.502586,0.001527,1.004151,-0.024260,0.002407,0.020079,1.506926,1.503098,1.003986,-0.077025,-0.117206,0.041852,-0.003002,-1.506941,1.004558,0.020649,0.010985,0.048312,0.012588,-0.004424,1.000490,-0.172924,0.062985,0.000088,-0.002311,1.496930,1.005981,0.029589,-0.054782,0.042390,-1.514528,-1.504980,1.000095,0.089671,0.026885,0.006697,-1.506855,0.007605,0.999430,0.039916,-0.055704,0.033212,-1.516416,1.507461,1.000928,0.121616,-0.057138,0.009062
0.112500,1.507508,-1.508569,0.999688,-0.077585,0.099498,0.012565,1.502283,0.001557,1.004402,-0.024246,0.002390,0.020064,1.505962,1.501632,1.004509,-0.077140,-0.117346,0.041868,-0.002744,-1.506803,1.005162,0.020708,0.011028,0.048329,0.010424,-0.003636,1.000491,-0.173335,0.063133,0.000095,-0.001940,1.496246,1.006511,0.029651,-0.054750,0.042379,-1.513406,-1.504644,1.000179,0.089903,0.026939,0.006718,-1.506356,0.006908,0.999845,0.039978,-0.055868,0.033277,-1.514894,1.506746,1.001041,0.121916,-0.057264,0.009075
0.125000,1.506537,-1.507324,0.999845,-0.077738,0.099727,0.012606,1.501980,0.001586,1.004653,-0.024230,0.002371,0.020048,1.504997,1.500165,1.005033,-0.077268,-0.117501,0.041887,-0.002485,-1.506665,1.005767,0.020775,0.011076,0.048346,0.008255,-0.002846,1.000492,-0.173795,0.063298,0.000103,-0.001569,1.495562,1.007040,0.029720,-0.054715,0.042368,-1.512280,-1.504307,1.000263,0.090163,0.026999,0.006742,-1.505856,0.006208,1.000262,0.040047,-0.056052,0.033349,-1.513368,1.506029,1.001155,0.122251,-0.057406,0.009090
0.137500,1.505564,-1.506075,1.000003,-0.077911,0.099986,0.012651,1.501677,0.001616,1.004903,-0.024209,0.002350,0.020028,1.504031,1.498695,1.005557,-0.077410,-0.117672,0.041905,-0.002224,-1.506527,1.006371,0.020850,0.011130,0.048365,0.006079,-0.002054,1.000494,-0.174310,0.063483,0.000111,-0.001197,1.494878,1.007570,0.029798,-0.054674,0.042354,-1.511152,-1.503969,1.000347,0.090458,0.027071,0.006769,-1.505355,0.005507,1.000679,0.040123,-0.056256,0.033427,-1.511838,1.505310,1.001268,0.122626,-0.057565,0.009104
