time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,1.511038,-1.038325,0.993393,0.006467,0.035966,0.064418,0.744394,-1.009349,0.997404,0.009600,-0.433804,0.096720,-0.013689,-0.980594,0.996674,-0.287242,-0.411562,0.082128,-0.763405,-0.995985,0.996495,-0.400287,-0.148474,0.085467,-1.517481,-1.019650,0.995401,-0.240942,0.412075,0.092153,1.517343,1.020362,0.997346,0.237878,-0.415099,0.079822,0.763704,0.995939,0.995823,0.399522,0.150225,0.086315,0.013676,0.981059,0.995811,0.289310,0.409355,0.088410,-0.743469,1.008777,0.999048,-0.009818,0.442461,0.078318,-1.510546,1.038573,0.993683,-0.009541,-0.031082,0.060122
0.020000,1.511167,-1.037606,0.994681,0.006444,0.036044,0.064431,0.744587,-1.018025,0.999339,0.009612,-0.433789,0.096726,-0.019433,-0.988826,0.998316,-0.287218,-0.411604,0.082135,-0.771410,-0.998954,0.998205,-0.400263,-0.148484,0.085475,-1.522300,-1.011408,0.997244,-0.240909,0.412118,0.092162,1.522101,1.012060,0.998942,0.237845,-0.415144,0.079828,0.771694,0.998944,0.997550,0.399498,0.150235,0.086324,0.019462,0.989246,0.997580,0.289286,0.409395,0.088419,-0.743666,1.017626,1.000614,-0.009831,0.442448,0.078320,-1.510737,1.037951,0.994886,-0.009520,-0.031160,0.060135
0.040000,1.511295,-1.036883,0.995970,0.006377,0.036276,0.064471,0.744779,-1.026701,1.001273,0.009646,-0.433744,0.096744,-0.025177,-0.997059,0.999959,-0.287146,-0.411728,0.082157,-0.779415,-1.001924,0.999914,-0.400194,-0.148513,0.085498,-1.527117,-1.003165,0.999088,-0.240812,0.412246,0.092192,1.526857,1.003756,1.000539,0.237749,-0.415276,0.079846,0.779684,1.001949,0.999277,0.399427,0.150264,0.086352,0.025247,0.997435,0.999348,0.289213,0.409517,0.088447,-0.743863,1.026475,1.002181,-0.009871,0.442406,0.078329,-1.510927,1.037326,0.996089,-0.009456,-0.031394,0.060173
0.060000,1.511422,-1.036153,0.997260,0.006265,0.036664,0.064538,0.744973,-1.035375,1.003208,0.009704,-0.433669,0.096774,-0.030919,-1.005296,1.001603,-0.287024,-0.411935,0.082194,-0.787418,-1.004895,1.001625,-0.400078,-0.148560,0.085537,-1.531932,-0.994918,1.000932,-0.240649,0.412460,0.092242,1.531610,0.995448,1.002136,0.237587,-0.415497,0.079876,0.787671,1.004954,1.001004,0.399308,0.150312,0.086397,0.031030,1.005627,1.001118,0.289093,0.409719,0.088493,-0.744061,1.035322,1.003747,-0.009938,0.442337,0.078343,-1.511115,1.036694,0.997293,-0.009349,-0.031784,0.060237
0.080000,1.511546,-1.035415,0.998552,0.006108,0.037206,0.064631,0.745167,-1.044047,1.005144,0.009785,-0.433565,0.096817,-0.036658,-1.013537,1.003247,-0.286855,-0.412226,0.082246,-0.795418,-1.007867,1.003336,-0.399915,-0.148627,0.085592,-1.536742,-0.986666,1.002777,-0.240421,0.412760,0.092311,1.536360,0.987135,1.003734,0.237362,-0.415807,0.079919,0.795656,1.007961,1.002733,0.399141,0.150379,0.086461,0.036810,1.013824,1.002888,0.288924,0.410003,0.088557,-0.744260,1.044168,1.005314,-0.010031,0.442240,0.078362,-1.511300,1.036053,0.998498,-0.009200,-0.032330,0.060326
0.100000,1.511666,-1.034664,0.999846,0.005907,0.037904,0.064751,0.745364,-1.052717,1.007081,0.009889,-0.433430,0.096872,-0.042393,-1.021785,1.004893,-0.286637,-0.412599,0.082313,-0.803414,-1.010840,1.005048,-0.399706,-0.148712,0.085662,-1.541548,-0.978407,1.004624,-0.240128,0.413145,0.092401,1.541104,0.978815,1.005333,0.237072,-0.416205,0.079973,0.803636,1.010970,1.004463,0.398927,0.150466,0.086543,0.042587,1.022028,1.004660,0.288706,0.410368,0.088639,-0.744462,1.053012,1.006882,-0.010151,0.442116,0.078387,-1.511482,1.035400,0.999706,-0.009007,-0.033032,0.060441
0.120000,1.511782,-1.033897,1.001142,0.005636,0.038831,0.064898,0.745563,-1.061384,1.009019,0.010028,-0.433187,0.096929,-0.048123,-1.030041,1.006540,-0.286306,-0.413030,0.082388,-0.811405,-1.013815,1.006762,-0.399369,-0.148805,0.085741,-1.546347,-0.970140,1.006474,-0.239703,0.413596,0.092504,1.545842,0.970487,1.006933,0.236650,-0.416672,0.080032,0.811612,1.013980,1.006194,0.398584,0.150559,0.086637,0.048358,1.030240,1.006434,0.288375,0.410788,0.088734,-0.744667,1.061852,1.008450,-0.010309,0.441885,0.078409,-1.511660,1.034730,1.000916,-0.008748,-0.033966,0.060581
0.140000,1.511891,-1.033109,1.002442,0.005272,0.040061,0.065072,0.745766,-1.070043,1.010958,0.010213,-0.432759,0.096980,-0.053844,-1.038307,1.008188,-0.285797,-0.413496,0.082466,-0.819387,-1.016792,1.008478,-0.398823,-0.148894,0.085823,-1.551135,-0.961863,1.008325,-0.239079,0.414093,0.092615,1.550569,0.962148,1.008535,0.236032,-0.417189,0.080089,0.819578,1.016992,1.007928,0.398030,0.150649,0.086739,0.054120,1.038460,1.008209,0.287867,0.411240,0.088835,-0.744875,1.070686,1.010018,-0.010519,0.441468,0.078417,-1.511832,1.034039,1.002129,-0.008399,-0.035206,0.060748
0.160000,1.511992,-1.032293,1.003745,0.004814,0.041594,0.065272,0.745972,-1.078693,1.012898,0.010443,-0.432144,0.097024,-0.059553,-1.046581,1.009838,-0.285110,-0.413995,0.082546,-0.827357,-1.019771,1.010195,-0.398069,-0.148977,0.085907,-1.555908,-0.953576,1.010178,-0.238255,0.414635,0.092735,1.555282,0.953799,1.010137,0.235217,-0.417755,0.080144,0.827532,1.020006,1.009664,0.397266,0.150733,0.086848,0.059871,1.046689,1.009987,0.287180,0.411722,0.088943,-0.745088,1.079510,1.011587,-0.010781,0.440867,0.078412,-1.511996,1.033320,1.003346,-0.007960,-0.036754,0.060940
0.180000,1.512083,-1.031443,1.005053,0.004263,0.043430,0.065500,0.746184,-1.087328,1.014839,0.010720,-0.431342,0.097060,-0.065247,-1.054867,1.011490,-0.284245,-0.414527,0.082628,-0.835309,-1.022751,1.011914,-0.397105,-0.149056,0.085994,-1.560664,-0.945277,1.012034,-0.237231,0.415223,0.092863,1.559976,0.945438,1.011740,0.234204,-0.418371,0.080197,0.835468,1.023021,1.011402,0.396292,0.150813,0.086965,0.065606,1.054929,1.011767,0.286315,0.412235,0.089058,-0.745306,1.088319,1.013155,-0.011094,0.440080,0.078394,-1.512150,1.032567,1.004567,-0.007430,-0.038608,0.061158
