time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,0.896860,-0.767868,1.115733,-0.448588,1.112350,0.532950,1.112718,-0.092810,1.106897,0.431044,0.418706,0.656820,0.767243,0.896634,1.116071,-1.115124,-0.447997,0.532204,-0.082225,-1.114831,1.106817,0.298396,-0.379343,0.632704,0.000317,-0.000319,1.107686,0.005845,0.000084,0.510677,0.081938,1.116000,1.103474,-0.268636,0.373777,0.681391,-0.768596,-0.898532,1.112651,1.118484,0.460916,0.556998,-1.112796,0.092821,1.106886,-0.431128,-0.418648,0.656759,-0.898842,0.769281,1.112914,0.462903,-1.119318,0.554806
0.010000,0.892374,-0.756745,1.121063,-0.448571,1.112314,0.532926,1.117029,-0.088623,1.113465,0.431016,0.418750,0.656797,0.756092,0.892154,1.121393,-1.115088,-0.447980,0.532180,-0.079241,-1.118624,1.113144,0.298434,-0.379314,0.632681,0.000375,-0.000318,1.112792,0.005845,0.000084,0.510652,0.079252,1.119738,1.110288,-0.268674,0.373748,0.681370,-0.757412,-0.893922,1.118221,1.118449,0.460900,0.556976,-1.117107,0.088634,1.113453,-0.431100,-0.418691,0.656737,-0.894213,0.758088,1.118461,0.462887,-1.119283,0.554784
0.020000,0.887889,-0.745622,1.126392,-0.448521,1.112207,0.532856,1.121339,-0.084435,1.120033,0.430932,0.418881,0.656729,0.744942,0.887674,1.126714,-1.114980,-0.447929,0.532110,-0.076256,-1.122417,1.119470,0.298549,-0.379227,0.632614,0.000434,-0.000318,1.117899,0.005844,0.000084,0.510578,0.076565,1.123475,1.117101,-0.268789,0.373659,0.681308,-0.746228,-0.889314,1.123790,1.118343,0.460853,0.556911,-1.121418,0.084446,1.120020,-0.431016,-0.418823,0.656668,-0.889584,0.746896,1.124009,0.462840,-1.119179,0.554718
0.030000,0.883404,-0.734501,1.131720,-0.448437,1.112029,0.532739,1.125647,-0.080245,1.126599,0.430792,0.419100,0.656615,0.733793,0.883196,1.132035,-1.114800,-0.447845,0.531992,-0.073270,-1.126209,1.125796,0.298742,-0.379082,0.632501,0.000492,-0.000317,1.123004,0.005844,0.000085,0.510454,0.073876,1.127211,1.123914,-0.268981,0.373511,0.681203,-0.735045,-0.884706,1.129359,1.118167,0.460773,0.556801,-1.125727,0.080257,1.126587,-0.430875,-0.419042,0.656554,-0.884956,0.735705,1.129556,0.462761,-1.119004,0.554608
0.040000,0.878920,-0.723382,1.137046,-0.448320,1.111780,0.532576,1.129954,-0.076053,1.133165,0.430595,0.419406,0.656456,0.722646,0.878718,1.137354,-1.114549,-0.447727,0.531827,-0.070281,-1.129998,1.132120,0.299011,-0.378880,0.632343,0.000551,-0.000316,1.128108,0.005842,0.000086,0.510282,0.071185,1.130945,1.130725,-0.269249,0.373305,0.681057,-0.723865,-0.880098,1.134926,1.117921,0.460662,0.556649,-1.130035,0.076065,1.133151,-0.430679,-0.419348,0.656395,-0.880329,0.724516,1.135101,0.462651,-1.118760,0.554455
0.050000,0.874438,-0.712266,1.142371,-0.448169,1.111460,0.532365,1.134259,-0.071857,1.139728,0.430343,0.419800,0.656251,0.711502,0.874241,1.142671,-1.114226,-0.447576,0.531615,-0.067289,-1.133786,1.138443,0.299357,-0.378620,0.632140,0.000609,-0.000315,1.133209,0.005841,0.000088,0.510059,0.068491,1.134677,1.137535,-0.269594,0.373039,0.680869,-0.712687,-0.875492,1.140492,1.117604,0.460519,0.556452,-1.134341,0.071870,1.139714,-0.430426,-0.419742,0.656190,-0.875703,0.713330,1.140645,0.462509,-1.118446,0.554257
0.060000,0.869957,-0.701153,1.147694,-0.447985,1.111069,0.532108,1.138561,-0.067656,1.146290,0.430034,0.420282,0.656001,0.700362,0.869766,1.147986,-1.113831,-0.447390,0.531356,-0.064294,-1.137571,1.144763,0.299781,-0.378301,0.631892,0.000667,-0.000314,1.138309,0.005839,0.000090,0.509787,0.065793,1.138405,1.144342,-0.270016,0.372715,0.680639,-0.701513,-0.870888,1.146055,1.117216,0.460344,0.556212,-1.138643,0.067670,1.146275,-0.430117,-0.420223,0.655940,-0.871079,0.702147,1.146186,0.462336,-1.118063,0.554016
0.070000,0.865478,-0.690045,1.153013,-0.447767,1.110606,0.531805,1.142859,-0.063451,1.152848,0.429670,0.420851,0.655705,0.689226,0.865293,1.153298,-1.113365,-0.447171,0.531050,-0.061293,-1.141352,1.151080,0.300281,-0.377925,0.631598,0.000726,-0.000313,1.143405,0.005837,0.000092,0.509466,0.063090,1.142131,1.151147,-0.270514,0.372331,0.680368,-0.690343,-0.866286,1.151616,1.116759,0.460137,0.555928,-1.142943,0.063465,1.152833,-0.429752,-0.420792,0.655644,-0.866456,0.690969,1.151725,0.462131,-1.117609,0.553730
0.080000,0.861002,-0.678941,1.158330,-0.447516,1.110072,0.531454,1.147154,-0.059239,1.159404,0.429249,0.421507,0.655363,0.678095,0.860823,1.158607,-1.112826,-0.446918,0.530697,-0.058288,-1.145129,1.157395,0.300858,-0.377491,0.631260,0.000784,-0.000312,1.148498,0.005835,0.000094,0.509096,0.060382,1.145852,1.157949,-0.271089,0.371888,0.680055,-0.679178,-0.861685,1.157173,1.116230,0.459899,0.555601,-1.147238,0.059254,1.159388,-0.429330,-0.421449,0.655303,-0.861836,0.679795,1.157261,0.461895,-1.117086,0.553401
0.090000,0.856528,-0.667843,1.163642,-0.447232,1.109468,0.531057,1.151444,-0.055020,1.165955,0.428772,0.422251,0.654976,0.666969,0.856355,1.163912,-1.112216,-0.446632,0.530297,-0.055276,-1.148901,1.163705,0.301512,-0.377000,0.630877,0.000843,-0.000311,1.153587,0.005832,0.000097,0.508676,0.057668,1.149568,1.164748,-0.271741,0.371387,0.679700,-0.668018,-0.857088,1.162728,1.115632,0.459628,0.555230,-1.151529,0.055036,1.165939,-0.428853,-0.422193,0.654916,-0.857219,0.668627,1.162793,0.461627,-1.116493,0.553027
