time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.125000,1.506502,-1.507398,1.000169,-0.077395,0.099447,0.012765,1.500837,0.001583,1.005186,-0.022939,0.002453,0.018312,1.505019,1.500305,1.005328,-0.076850,-0.117202,0.041941,-0.002682,-1.506316,1.005826,0.020504,0.010606,0.048726,0.005793,-0.001953,1.000261,-0.173569,0.063214,-0.000639,-0.001640,1.495059,1.006919,0.029385,-0.054355,0.042729,-1.512184,-1.504021,1.000251,0.089289,0.026168,0.006966,-1.505379,0.006367,1.000160,0.039085,-0.055274,0.033958,-1.513376,1.505778,1.001153,0.122347,-0.057332,0.009054
0.137500,1.505534,-1.506154,1.000329,-0.077567,0.099707,0.012804,1.500551,0.001614,1.005415,-0.022896,0.002433,0.018280,1.504057,1.498838,1.005852,-0.076991,-0.117375,0.041954,-0.002425,-1.506183,1.006435,0.020583,0.010653,0.048744,0.003621,-0.001161,1.000253,-0.174041,0.063384,-0.000629,-0.001272,1.494379,1.007453,0.029462,-0.054305,0.042718,-1.511066,-1.503694,1.000338,0.089580,0.026234,0.006994,-1.504890,0.005675,1.000585,0.039150,-0.055479,0.034039,-1.511844,1.505060,1.001266,0.122721,-0.057486,0.009069
0.150000,1.504563,-1.504906,1.000489,-0.077767,0.100003,0.012847,1.500265,0.001644,1.005643,-0.022839,0.002411,0.018242,1.503094,1.497370,1.006377,-0.077146,-0.117561,0.041965,-0.002168,-1.506049,1.007045,0.020673,0.010709,0.048761,0.001442,-0.000368,1.000245,-0.174570,0.063574,-0.000620,-0.000904,1.493701,1.007987,0.029549,-0.054248,0.042705,-1.509944,-1.503365,1.000426,0.089912,0.026317,0.007027,-1.504400,0.004980,1.001011,0.039221,-0.055705,0.034125,-1.510307,1.504341,1.001379,0.123140,-0.057659,0.009080
0.162500,1.503589,-1.503653,1.000650,-0.077995,0.100335,0.012892,1.499980,0.001674,1.005871,-0.022769,0.002388,0.018199,1.502129,1.495899,1.006902,-0.077314,-0.117762,0.041972,-0.001909,-1.505915,1.007654,0.020775,0.010772,0.048777,-0.000744,0.000428,1.000237,-0.175155,0.063784,-0.000612,-0.000534,1.493023,1.008521,0.029645,-0.054182,0.042689,-1.508818,-1.503036,1.000514,0.090285,0.026417,0.007064,-1.503910,0.004283,1.001438,0.039296,-0.055953,0.034217,-1.508765,1.503619,1.001493,0.123601,-0.057850,0.009089
0.175000,1.502613,-1.502397,1.000812,-0.078249,0.100705,0.012941,1.499696,0.001704,1.006098,-0.022685,0.002364,0.018150,1.501161,1.494426,1.007426,-0.077495,-0.117976,0.041977,-0.001648,-1.505780,1.008264,0.020890,0.010843,0.048791,-0.002937,0.001227,1.000230,-0.175796,0.064014,-0.000606,-0.000163,1.492346,1.009055,0.029749,-0.054109,0.042672,-1.507687,-1.502705,1.000602,0.090698,0.026534,0.007106,-1.503418,0.003582,1.001866,0.039376,-0.056221,0.034314,-1.507217,1.502894,1.001607,0.124107,-0.058059,0.009095
0.187500,1.501633,-1.501136,1.000974,-0.078531,0.101110,0.012993,1.499413,0.001733,1.006324,-0.022589,0.002339,0.018095,1.500191,1.492950,1.007951,-0.077690,-0.118205,0.041979,-0.001386,-1.505644,1.008874,0.021016,0.010921,0.048804,-0.005139,0.002029,1.000222,-0.176493,0.064264,-0.000602,0.000210,1.491671,1.009588,0.029863,-0.054027,0.042652,-1.506550,-1.502372,1.000691,0.091153,0.026669,0.007153,-1.502925,0.002877,1.002296,0.039460,-0.056511,0.034416,-1.505663,1.502167,1.001720,0.124655,-0.058287,0.009098
0.200000,1.500649,-1.499869,1.001137,-0.078840,0.101553,0.013048,1.499131,0.001762,1.006550,-0.022479,0.002312,0.018035,1.499219,1.491471,1.008476,-0.077897,-0.118447,0.041978,-0.001123,-1.505507,1.009484,0.021154,0.011007,0.048816,-0.007350,0.002834,1.000215,-0.177246,0.064535,-0.000599,0.000584,1.490996,1.010121,0.029985,-0.053938,0.042631,-1.505408,-1.502038,1.000781,0.091648,0.026820,0.007205,-1.502432,0.002169,1.002727,0.039549,-0.056821,0.034524,-1.504101,1.501437,1.001834,0.125247,-0.058533,0.009099
0.212500,1.499662,-1.498597,1.001300,-0.079177,0.102032,0.013106,1.498851,0.001791,1.006775,-0.022356,0.002285,0.017969,1.498244,1.489989,1.009000,-0.078118,-0.118704,0.041974,-0.000857,-1.505369,1.010095,0.021304,0.011101,0.048827,-0.009570,0.003642,1.000207,-0.178056,0.064826,-0.000597,0.000960,1.490322,1.010654,0.030116,-0.053841,0.042607,-1.504259,-1.501702,1.000872,0.092184,0.026989,0.007262,-1.501937,0.001456,1.003159,0.039643,-0.057153,0.034637,-1.502531,1.500704,1.001948,0.125883,-0.058797,0.009096
0.225000,1.498670,-1.497318,1.001464,-0.079540,0.102547,0.013167,1.498572,0.001820,1.006999,-0.022219,0.002256,0.017898,1.497266,1.488503,1.009525,-0.078353,-0.118974,0.041968,-0.000590,-1.505229,1.010705,0.021465,0.011202,0.048837,-0.011801,0.004454,1.000200,-0.178921,0.065137,-0.000597,0.001337,1.489650,1.011186,0.030256,-0.053736,0.042580,-1.503103,-1.501363,1.000963,0.092761,0.027174,0.007323,-1.501440,0.000740,1.003593,0.039741,-0.057506,0.034755,-1.500953,1.499967,1.002061,0.126561,-0.059079,0.009091
0.237500,1.497673,-1.496033,1.001629,-0.079932,0.103099,0.013230,1.498295,0.001848,1.007223,-0.022070,0.002226,0.017820,1.496285,1.487014,1.010050,-0.078600,-0.119259,0.041958,-0.000321,-1.505089,1.011316,0.021639,0.011311,0.048845,-0.014044,0.005271,1.000192,-0.179842,0.065468,-0.000598,0.001716,1.488979,1.011718,0.030404,-0.053623,0.042552,-1.501940,-1.501022,1.001055,0.093379,0.027377,0.007389,-1.500943,0.000019,1.004028,0.039845,-0.057880,0.034878,-1.499367,1.499227,1.002175,0.127284,-0.059380,0.009084
