time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.200000,1.079561,-1.976458,1.000805,-0.277229,0.277269,-0.024219,1.093625,-0.991726,1.004288,-0.019246,0.078522,-0.003582,1.119068,-0.000377,1.007447,0.014112,0.040867,0.000556,1.095709,0.989420,1.004179,-0.055386,-0.038592,-0.008043,1.080586,1.975134,1.000681,-0.302949,-0.266367,-0.023698,-1.084735,-1.970157,1.000701,0.196389,0.331372,-0.024999,-1.094892,-0.994495,1.002261,-0.001786,0.143105,-0.020637,-1.098432,0.020382,1.000971,-0.020129,0.155847,-0.025593,-1.077472,0.999436,1.001330,0.163417,0.009385,-0.023541
0.220000,1.074000,-1.970895,1.000317,-0.278914,0.279121,-0.024561,1.093239,-0.990150,1.004213,-0.019361,0.079133,-0.003949,1.119343,0.000445,1.007454,0.013334,0.041312,0.000185,1.094595,0.988647,1.004015,-0.056008,-0.038642,-0.008449,1.074508,1.969791,1.000204,-0.304965,-0.268021,-0.024027,-1.080794,-1.963510,1.000197,0.197709,0.333364,-0.025335,-1.094928,-0.991620,1.001845,-0.001750,0.144476,-0.021033,-1.098834,0.023502,1.000456,-0.020075,0.156138,-0.025968,-1.074198,0.999622,1.000856,0.164010,0.009187,-0.023916
0.240000,1.068403,-1.965292,0.999823,-0.280800,0.281200,-0.024934,1.092851,-0.988560,1.004130,-0.019499,0.079831,-0.004360,1.119601,0.001276,1.007454,0.012470,0.041809,-0.000236,1.093468,0.987874,1.003841,-0.056719,-0.038706,-0.008903,1.068386,1.964412,0.999720,-0.307225,-0.269873,-0.024385,-1.076825,-1.956821,0.999687,0.199183,0.335585,-0.025702,-1.094962,-0.988715,1.001420,-0.001707,0.146032,-0.021469,-1.099235,0.026627,0.999932,-0.020007,0.156438,-0.026376,-1.070912,0.999804,1.000373,0.164669,0.008958,-0.024328
0.260000,1.062767,-1.959645,0.999320,-0.282890,0.283506,-0.025339,1.092459,-0.986956,1.004038,-0.019660,0.080617,-0.004817,1.119841,0.002118,1.007444,0.011520,0.042357,-0.000707,1.092325,0.987099,1.003658,-0.057520,-0.038783,-0.009407,1.062217,1.958995,0.999228,-0.309729,-0.271924,-0.024772,-1.072826,-1.950085,0.999169,0.200810,0.338034,-0.026098,-1.094996,-0.985777,1.000986,-0.001658,0.147773,-0.021946,-1.099635,0.029759,0.999400,-0.019928,0.156745,-0.026819,-1.067611,0.999980,0.999882,0.165394,0.008700,-0.024775
0.280000,1.057087,-1.953950,0.998809,-0.285182,0.286038,-0.025774,1.092064,-0.985335,1.003937,-0.019843,0.081490,-0.005320,1.120061,0.002971,1.007425,0.010485,0.042958,-0.001228,1.091166,0.986323,1.003464,-0.058410,-0.038873,-0.009961,1.055995,1.953534,0.998729,-0.312479,-0.274173,-0.025187,-1.068792,-1.943298,0.998643,0.202591,0.340712,-0.026524,-1.095028,-0.982803,1.000542,-0.001603,0.149699,-0.022463,-1.100032,0.032897,0.998859,-0.019836,0.157062,-0.027295,-1.064295,1.000152,0.999382,0.166184,0.008412,-0.025258
0.300000,1.051358,-1.948202,0.998289,-0.287676,0.288798,-0.026240,1.091665,-0.983696,1.003825,-0.020048,0.082451,-0.005868,1.120260,0.003836,1.007395,0.009364,0.043611,-0.001798,1.089988,0.985544,1.003259,-0.059389,-0.038977,-0.010563,1.049716,1.948026,0.998221,-0.315473,-0.276621,-0.025632,-1.064721,-1.936455,0.998108,0.204525,0.343620,-0.026980,-1.095060,-0.979788,1.000087,-0.001540,0.151810,-0.023020,-1.100428,0.036042,0.998308,-0.019731,0.157387,-0.027806,-1.060963,1.000317,0.998872,0.167040,0.008093,-0.025777
0.320000,1.045578,-1.942397,0.997759,-0.290372,0.291781,-0.026735,1.091262,-0.982036,1.003702,-0.020279,0.083500,-0.006459,1.120436,0.004715,1.007353,0.008175,0.044309,-0.002420,1.088790,0.984763,1.003042,-0.060457,-0.039099,-0.011212,1.043375,1.942468,0.997703,-0.318708,-0.279264,-0.026103,-1.060610,-1.929552,0.997563,0.206603,0.346744,-0.027463,-1.095090,-0.976729,0.999621,-0.001471,0.154098,-0.023614,-1.100822,0.039193,0.997747,-0.019614,0.157710,-0.028345,-1.057613,1.000475,0.998351,0.167963,0.007746,-0.026327
0.340000,1.039742,-1.936529,0.997219,-0.293270,0.294986,-0.027257,1.090854,-0.980355,1.003566,-0.020541,0.084640,-0.007091,1.120587,0.005609,1.007298,0.006936,0.045043,-0.003092,1.087570,0.983980,1.002811,-0.061616,-0.039244,-0.011903,1.036966,1.936855,0.997176,-0.322179,-0.282099,-0.026599,-1.056456,-1.922584,0.997009,0.208815,0.350074,-0.027972,-1.095119,-0.973623,0.999142,-0.001392,0.156556,-0.024242,-1.101213,0.042350,0.997174,-0.019484,0.158021,-0.028907,-1.054244,1.000626,0.997819,0.168954,0.007372,-0.026904
0.360000,1.033846,-1.930596,0.996669,-0.296368,0.298412,-0.027806,1.090440,-0.978650,1.003418,-0.020832,0.085868,-0.007764,1.120713,0.006517,1.007229,0.005649,0.045813,-0.003816,1.086325,0.983194,1.002565,-0.062865,-0.039411,-0.012637,1.030486,1.931183,0.996639,-0.325887,-0.285127,-0.027119,-1.052257,-1.915548,0.996444,0.211161,0.353609,-0.028505,-1.095146,-0.970466,0.998651,-0.001304,0.159183,-0.024903,-1.101601,0.045513,0.996590,-0.019340,0.158320,-0.029492,-1.050855,1.000770,0.997274,0.170013,0.006971,-0.027507
0.380000,1.027886,-1.924592,0.996107,-0.299668,0.302059,-0.028381,1.090021,-0.976920,1.003255,-0.021153,0.087186,-0.008479,1.120812,0.007442,1.007145,0.004312,0.046620,-0.004592,1.085054,0.982403,1.002305,-0.064203,-0.039601,-0.013414,1.023929,1.925448,0.996091,-0.329832,-0.288347,-0.027663,-1.048009,-1.908438,0.995869,0.213641,0.357350,-0.029064,-1.095171,-0.967255,0.998146,-0.001208,0.161980,-0.025598,-1.101986,0.048683,0.995994,-0.019184,0.158607,-0.030100,-1.047443,1.000905,0.996718,0.171139,0.006543,-0.028138
