time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,0.908288,-1.725439,1.032994,-1.262654,1.703355,0.191227,0.934378,-0.901743,0.907722,-1.566128,1.119796,-0.236531,0.926046,-0.054748,1.080748,-1.851264,-0.117780,0.108211,1.012060,0.768475,0.976659,-1.193487,-1.525812,-0.213630,1.008647,1.699495,1.053110,-0.672784,-2.100895,0.215885,-0.941599,-1.748420,0.947709,0.913393,1.801270,-0.386889,-1.060509,-0.844695,0.935227,1.118989,1.406086,-0.337055,-0.958733,0.018995,0.971479,1.784928,0.083051,-0.264110,-0.996372,0.931078,0.992190,1.409056,-0.969272,-0.218483,-0.985516,1.757186,1.016575,1.084035,-1.754493,0.139397
0.020000,0.883036,-1.691373,1.036818,-1.262456,1.703197,0.191155,0.903055,-0.879347,0.902992,-1.566126,1.119846,-0.236355,0.889021,-0.057103,1.082911,-1.851297,-0.117685,0.108041,0.988189,0.737960,0.972386,-1.193624,-1.525617,-0.213592,0.995191,1.657478,1.057427,-0.672764,-2.100694,0.215773,-0.923332,-1.712395,0.939972,0.913240,1.801167,-0.386790,-1.038128,-0.816574,0.928487,1.119222,1.406043,-0.336934,-0.923034,0.020656,0.966197,1.785027,0.083027,-0.264062,-0.968190,0.911692,0.987820,1.409178,-0.969381,-0.218475,-0.963835,1.722097,1.019363,1.083992,-1.754399,0.139358
0.040000,0.857792,-1.657313,1.040639,-1.261861,1.702723,0.190939,0.871733,-0.856948,0.898270,-1.566120,1.119997,-0.235826,0.851994,-0.059454,1.085067,-1.851398,-0.117398,0.107530,0.964313,0.707453,0.968116,-1.194034,-1.525032,-0.213476,0.981736,1.615470,1.061739,-0.672706,-2.100091,0.215436,-0.905072,-1.676374,0.932239,0.912779,1.800857,-0.386495,-1.015737,-0.788454,0.921751,1.119924,1.405914,-0.336570,-0.887331,0.022316,0.960917,1.785324,0.082955,-0.263917,-0.940004,0.892301,0.983451,1.409544,-0.969707,-0.218453,-0.942157,1.687011,1.022149,1.083861,-1.754115,0.139240
0.060000,0.832564,-1.623266,1.044455,-1.260871,1.701932,0.190578,0.840410,-0.834546,0.893561,-1.566111,1.120247,-0.234944,0.814964,-0.061798,1.087210,-1.851566,-0.116920,0.106678,0.940426,0.676961,0.963848,-1.194719,-1.524055,-0.213284,0.968283,1.573477,1.066043,-0.672609,-2.099085,0.214874,-0.886823,-1.640362,0.924513,0.912012,1.800341,-0.386003,-0.993327,-0.760338,0.915025,1.121093,1.405700,-0.335963,-0.851620,0.023974,0.955641,1.785819,0.082834,-0.263676,-0.911807,0.872902,0.979082,1.410154,-0.970252,-0.218416,-0.920481,1.651933,1.024932,1.083643,-1.753642,0.139044
0.080000,0.807360,-1.589238,1.048262,-1.259485,1.700825,0.190074,0.809088,-0.812138,0.888874,-1.566097,1.120599,-0.233710,0.777931,-0.064130,1.089332,-1.851801,-0.116250,0.105486,0.916523,0.646493,0.959585,-1.195677,-1.522689,-0.213014,0.954832,1.531509,1.070333,-0.672473,-2.097677,0.214088,-0.868593,-1.604362,0.916800,0.910937,1.799618,-0.385313,-0.970890,-0.732226,0.908314,1.122729,1.405401,-0.335114,-0.815897,0.025629,0.950371,1.786512,0.082665,-0.263339,-0.883596,0.853490,0.974715,1.411009,-0.971013,-0.218364,-0.898812,1.616867,1.027710,1.083338,-1.752979,0.138769
0.100000,0.782188,-1.555235,1.052057,-1.257702,1.699402,0.189425,0.777767,-0.789721,0.884215,-1.566080,1.121050,-0.232122,0.740892,-0.066447,1.091427,-1.852104,-0.115390,0.103953,0.892597,0.616057,0.955328,-1.196909,-1.520932,-0.212667,0.941384,1.489573,1.074605,-0.672299,-2.095867,0.213076,-0.850388,-1.568379,0.909102,0.909556,1.798689,-0.384428,-0.948415,-0.704122,0.901622,1.124833,1.405016,-0.334021,-0.780158,0.027280,0.945108,1.787403,0.082448,-0.262905,-0.855365,0.834060,0.970348,1.412107,-0.971993,-0.218297,-0.877149,1.581816,1.030482,1.082945,-1.752128,0.138416
0.120000,0.757056,-1.521263,1.055837,-1.255362,1.697749,0.188567,0.746446,-0.767295,0.879592,-1.565995,1.121623,-0.230156,0.703846,-0.068744,1.093487,-1.852470,-0.114341,0.102051,0.868644,0.585659,0.951079,-1.198517,-1.518694,-0.212172,0.927940,1.447677,1.078854,-0.672099,-2.093596,0.211791,-0.832213,-1.532415,0.901425,0.907819,1.797657,-0.383230,-0.925893,-0.676027,0.894956,1.127516,1.404436,-0.332582,-0.744399,0.028926,0.939856,1.788496,0.082173,-0.262295,-0.827110,0.814608,0.965983,1.413454,-0.973191,-0.218160,-0.855495,1.546783,1.033246,1.082390,-1.751062,0.137921
0.140000,0.731978,-1.487326,1.059598,-1.252302,1.695951,0.187433,0.715128,-0.744856,0.875012,-1.565778,1.122337,-0.227786,0.666793,-0.071019,1.095506,-1.852897,-0.113105,0.099754,0.844653,0.555313,0.946842,-1.200604,-1.515887,-0.211457,0.914501,1.405832,1.083074,-0.671889,-2.090806,0.210184,-0.814078,-1.496472,0.893776,0.905676,1.796626,-0.381607,-0.903310,-0.647947,0.888322,1.130888,1.403554,-0.330693,-0.708617,0.030567,0.934618,1.789795,0.081830,-0.261429,-0.798825,0.795131,0.961622,1.415055,-0.974608,-0.217899,-0.833855,1.511775,1.035998,1.081595,-1.749756,0.137218
0.160000,0.706968,-1.453426,1.063333,-1.248522,1.694009,0.186023,0.683815,-0.722400,0.870483,-1.565430,1.123193,-0.225010,0.629730,-0.073267,1.097475,-1.853385,-0.111684,0.097062,0.820616,0.525028,0.942622,-1.203169,-1.512509,-0.210522,0.901065,1.364049,1.087259,-0.671667,-2.087498,0.208253,-0.795989,-1.460550,0.886163,0.903129,1.795597,-0.379557,-0.880653,-0.619887,0.881731,1.134951,1.402370,-0.328353,-0.672806,0.032199,0.929400,1.791301,0.081419,-0.260306,-0.770506,0.775623,0.957268,1.416909,-0.976243,-0.217513,-0.812233,1.476795,1.038733,1.080560,-1.748210,0.136309
0.180000,0.682042,-1.419567,1.067037,-1.244023,1.691923,0.184337,0.652511,-0.699927,0.866014,-1.564951,1.124191,-0.221829,0.592657,-0.075485,1.099386,-1.853933,-0.110077,0.093973,0.796523,0.494816,0.938423,-1.206213,-1.508561,-0.209366,0.887634,1.322336,1.091402,-0.671435,-2.083671,0.206000,-0.777955,-1.424648,0.878596,0.900177,1.794569,-0.377082,-0.857907,-0.591854,0.875191,1.139704,1.400882,-0.325563,-0.636963,0.033823,0.924208,1.793013,0.080940,-0.258927,-0.742147,0.756080,0.952923,1.419017,-0.978098,-0.217003,-0.790634,1.441848,1.041449,1.079286,-1.746424,0.135193
0.200000,0.657212,-1.385750,1.070704,-1.238805,1.689692,0.182376,0.621218,-0.677432,0.861613,-1.564340,1.125331,-0.218243,0.555572,-0.077669,1.101231,-1.854542,-0.108284,0.090489,0.772365,0.464689,0.934249,-1.209735,-1.504043,-0.207990,0.874208,1.280705,1.095497,-0.671191,-2.079325,0.203424,-0.759985,-1.388767,0.871083,0.896819,1.793543,-0.374180,-0.835060,-0.563854,0.868711,1.145147,1.399092,-0.322322,-0.601084,0.035436,0.919045,1.794931,0.080394,-0.257291,-0.713744,0.736497,0.948589,1.421378,-0.980172,-0.216367,-0.769063,1.406939,1.044140,1.077773,-1.744399,0.133870
0.220000,0.632494,-1.351979,1.074330,-1.232872,1.687462,0.180118,0.589939,-0.654913,0.857287,-1.563586,1.126562,-0.214207,0.518475,-0.079815,1.103003,-1.855155,-0.106315,0.086606,0.748131,0.434658,0.930105,-1.213759,-1.498926,-0.206377,0.860786,1.239166,1.099537,-0.670961,-2.074531,0.200502,-0.742085,-1.352906,0.863632,0.893055,1.792541,-0.370816,-0.812097,-0.535893,0.862302,1.151244,1.396935,-0.318544,-0.565165,0.037038,0.913918,1.796980,0.079779,-0.255340,-0.685291,0.716871,0.944269,1.423942,-0.982439,-0.215553,-0.747525,1.372073,1.046802,1.075957,-1.742203,0.132275
0.240000,0.607902,-1.318251,1.077907,-1.226229,1.685376,0.177543,0.558676,-0.632369,0.853048,-1.562674,1.127837,-0.209672,0.481366,-0.081920,1.104693,-1.855716,-0.104180,0.082318,0.723811,0.404736,0.925996,-1.218310,-1.493180,-0.204509,0.847369,1.197726,1.103514,-0.670771,-2.069360,0.197209,-0.724265,-1.317065,0.856254,0.888882,1.791586,-0.366952,-0.789006,-0.507979,0.855974,1.157960,1.394348,-0.314144,-0.529205,0.038627,0.908834,1.799083,0.079094,-0.253014,-0.656785,0.697199,0.939968,1.426661,-0.984877,-0.214506,-0.726027,1.337252,1.049428,1.073777,-1.739908,0.130343
0.260000,0.583450,-1.284563,1.081429,-1.218875,1.683435,0.174651,0.527433,-0.609799,0.848904,-1.561604,1.129153,-0.204640,0.444247,-0.083981,1.106293,-1.856225,-0.101879,0.077627,0.699395,0.374935,0.921926,-1.223385,-1.486804,-0.202387,0.833955,1.156394,1.107423,-0.670619,-2.063811,0.193547,-0.706533,-1.281243,0.848957,0.884300,1.790679,-0.362590,-0.765775,-0.480122,0.849740,1.165295,1.391331,-0.309120,-0.493202,0.040201,0.903800,1.801240,0.078341,-0.250313,-0.628223,0.677475,0.935690,1.429534,-0.987485,-0.213226,-0.704576,1.302477,1.052013,1.071230,-1.737512,0.128073
0.280000,0.559152,-1.250913,1.084891,-1.210812,1.681639,0.171443,0.496213,-0.587203,0.844866,-1.560378,1.130513,-0.199111,0.407118,-0.085995,1.107795,-1.856682,-0.099412,0.072532,0.674872,0.345268,0.917902,-1.228987,-1.479800,-0.200010,0.820544,1.115177,1.111254,-0.670507,-2.057885,0.189516,-0.688896,-1.245438,0.841753,0.879309,1.789819,-0.357728,-0.742390,-0.452329,0.843613,1.173249,1.387883,-0.303473,-0.457155,0.041760,0.898824,1.803451,0.077518,-0.247238,-0.599602,0.657698,0.931441,1.432560,-0.990262,-0.211712,-0.683180,1.267752,1.054549,1.068319,-1.735017,0.125466
0.300000,0.535022,-1.217297,1.088285,-1.202039,1.679988,0.167917,0.465019,-0.564579,0.840943,-1.558994,1.131914,-0.193084,0.369980,-0.087957,1.109192,-1.857087,-0.096778,0.067033,0.650232,0.315747,0.913928,-1.235114,-1.472168,-0.197378,0.807135,1.074081,1.115001,-0.670434,-2.051581,0.185114,-0.671363,-1.209650,0.834652,0.873910,1.789006,-0.352366,-0.718840,-0.424609,0.837605,1.181823,1.384006,-0.297203,-0.421063,0.043302,0.893913,1.805717,0.076626,-0.243787,-0.570920,0.637864,0.927223,1.435741,-0.993209,-0.209966,-0.661846,1.233077,1.057029,1.065042,-1.732421,0.122521
0.320000,0.511075,-1.183712,1.091605,-1.192626,1.678531,0.164043,0.433854,-0.541926,0.837145,-1.557433,1.133300,-0.186624,0.332835,-0.089865,1.110474,-1.857365,-0.094020,0.061162,0.625464,0.286386,0.910009,-1.241679,-1.463923,-0.194483,0.793726,1.033115,1.118656,-0.670435,-2.044985,0.180349,-0.653942,-1.173877,0.827662,0.868178,1.788252,-0.346491,-0.695114,-0.396972,0.831729,1.190883,1.379652,-0.290340,-0.384926,0.044825,0.889075,1.807960,0.075693,-0.239929,-0.542172,0.617969,0.923044,1.438986,-0.996282,-0.207943,-0.640581,1.198455,1.059448,1.061400,-1.729803,0.119233
0.340000,0.487321,-1.150154,1.094844,-1.182645,1.677317,0.159789,0.402723,-0.519247,0.833480,-1.555673,1.134611,-0.179794,0.295687,-0.091717,1.111636,-1.857442,-0.091178,0.054952,0.600562,0.257194,0.906150,-1.248595,-1.455084,-0.191318,0.780316,0.992283,1.122212,-0.670543,-2.038180,0.175227,-0.636638,-1.138119,0.820796,0.862192,1.787565,-0.340087,-0.671203,-0.369427,0.825996,1.200298,1.374776,-0.282912,-0.348745,0.046329,0.884319,1.810102,0.074748,-0.235629,-0.513360,0.598012,0.918908,1.442203,-0.999439,-0.205601,-0.619392,1.163885,1.061796,1.057396,-1.727240,0.115594
0.360000,0.463773,-1.116617,1.097994,-1.172094,1.676346,0.155155,0.371628,-0.496542,0.829956,-1.553715,1.135847,-0.172593,0.258539,-0.093511,1.112670,-1.857318,-0.088251,0.048402,0.575518,0.228186,0.902358,-1.255860,-1.445649,-0.187881,0.766904,0.951589,1.125663,-0.670759,-2.031168,0.169749,-0.619456,-1.102374,0.814062,0.855950,1.786948,-0.333155,-0.647100,-0.341984,0.820416,1.210067,1.369376,-0.274921,-0.312523,0.047815,0.879653,1.812144,0.073790,-0.230887,-0.484484,0.577991,0.914822,1.445395,-1.002680,-0.202940,-0.598287,1.129365,1.064069,1.053029,-1.724731,0.111605
0.380000,0.440441,-1.083098,1.101048,-1.160975,1.675618,0.150141,0.340575,-0.473814,0.826579,-1.551560,1.137009,-0.165023,0.221395,-0.095246,1.113570,-1.856992,-0.085241,0.041512,0.550326,0.199372,0.898637,-1.263476,-1.435621,-0.184174,0.753485,0.911038,1.129000,-0.671083,-2.023947,0.163913,-0.602401,-1.066641,0.807473,0.849453,1.786398,-0.325694,-0.622798,-0.314655,0.815002,1.220191,1.363455,-0.266366,-0.276260,0.049281,0.875086,1.814085,0.072821,-0.225704,-0.455545,0.557904,0.910792,1.448559,-1.006004,-0.199959,-0.577274,1.094895,1.066258,1.048298,-1.722277,0.107266
0.400000,0.417337,-1.049591,1.103997,-1.149286,1.675133,0.144747,0.309567,-0.451062,0.823357,-1.549205,1.138096,-0.157082,0.184260,-0.096920,1.114328,-1.856465,-0.082147,0.034282,0.524977,0.170765,0.894993,-1.271441,-1.424997,-0.180195,0.740060,0.870633,1.132217,-0.671515,-2.016518,0.157721,-0.585479,-1.030918,0.801038,0.842701,1.785917,-0.317704,-0.598290,-0.287449,0.809765,1.230670,1.357010,-0.257247,-0.239960,0.050727,0.870628,1.815927,0.071839,-0.220080,-0.426542,0.537750,0.906826,1.451697,-1.009412,-0.196658,-0.556358,1.060474,1.068357,1.043204,-1.719877,0.102576
0.420000,0.394473,-1.016091,1.106835,-1.137101,1.674893,0.138991,0.278608,-0.428291,0.820298,-1.546663,1.139075,-0.148850,0.147138,-0.098532,1.114939,-1.855657,-0.079015,0.026760,0.499466,0.142376,0.891431,-1.279655,-1.413850,-0.175939,0.726624,0.830378,1.135306,-0.672089,-2.008909,0.151170,-0.568695,-0.995204,0.794768,0.835771,1.785485,-0.309225,-0.573569,-0.260378,0.804716,1.241379,1.350059,-0.247645,-0.203625,0.052155,0.866286,1.817569,0.070873,-0.214029,-0.397478,0.517527,0.902928,1.454737,-1.012864,-0.193029,-0.535548,1.026100,1.070359,1.037776,-1.717564,0.097559
0.440000,0.371856,-0.982594,1.109555,-1.124492,1.674902,0.132892,0.247702,-0.405500,0.817405,-1.543942,1.139915,-0.140405,0.110036,-0.100081,1.115397,-1.854488,-0.075891,0.018993,0.473790,0.114214,0.887957,-1.288013,-1.402251,-0.171399,0.713175,0.790278,1.138261,-0.672841,-2.001148,0.144260,-0.552049,-0.959498,0.788672,0.828741,1.785081,-0.300297,-0.548634,-0.233450,0.799862,1.252192,1.342616,-0.237640,-0.167259,0.053563,0.862069,1.818916,0.069953,-0.207566,-0.368354,0.497235,0.899107,1.457608,-1.016324,-0.189061,-0.514849,0.991771,1.072258,1.032043,-1.715370,0.092237
