time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.200000,0.598355,-1.989047,0.986080,-0.003498,0.042887,0.065013,0.591786,-0.996107,0.995104,0.040606,0.125680,0.097262,0.593821,-0.003999,0.979998,-0.040195,-0.016378,0.074008,0.594849,1.000100,0.982747,-0.033608,0.024344,0.082991,0.599141,1.985110,0.991321,0.008774,-0.070351,0.110725,-0.596520,-1.985019,0.992313,0.008951,0.067561,0.084417,-0.597608,-0.993116,0.993475,0.151775,0.007391,0.036040,-0.601502,0.000228,0.994499,-0.026044,0.016291,0.049460,-0.606462,0.972209,1.003482,-0.081130,-0.103233,0.111594,-0.596164,1.989460,0.992628,0.008791,-0.044223,0.086722
0.220000,0.598286,-1.988192,0.987395,-0.003408,0.042675,0.066538,0.592607,-0.993583,0.997062,0.041564,0.126760,0.098593,0.593017,-0.004326,0.981498,-0.040208,-0.016303,0.076053,0.594176,1.000589,0.984426,-0.033615,0.024561,0.084961,0.599318,1.983705,0.993552,0.008926,-0.070206,0.112404,-0.596342,-1.983670,0.994014,0.008840,0.067374,0.085766,-0.594558,-0.992972,0.994203,0.153201,0.007057,0.036830,-0.602025,0.000555,0.995496,-0.026250,0.016375,0.050317,-0.608089,0.970149,1.005723,-0.081580,-0.102727,0.112572,-0.595990,1.988577,0.994375,0.008654,-0.044058,0.088075
0.240000,0.598219,-1.987341,0.988743,-0.003300,0.042416,0.068276,0.593449,-0.991036,0.999049,0.042662,0.127963,0.100091,0.592213,-0.004651,0.983042,-0.040205,-0.016212,0.078390,0.593504,1.001083,0.986147,-0.033606,0.024796,0.087210,0.599498,1.982303,0.995819,0.009099,-0.070018,0.114304,-0.596167,-1.982325,0.995745,0.008708,0.067138,0.087297,-0.591479,-0.992834,0.994949,0.154786,0.006673,0.037736,-0.602552,0.000883,0.996512,-0.026479,0.016453,0.051294,-0.609725,0.968100,1.007986,-0.082062,-0.102138,0.113671,-0.595818,1.987698,0.996152,0.008494,-0.043853,0.089609
0.260000,0.598154,-1.986495,0.990128,-0.003174,0.042110,0.070228,0.594315,-0.988464,1.001067,0.043901,0.129288,0.101756,0.591409,-0.004975,0.984636,-0.040187,-0.016105,0.081019,0.592832,1.001581,0.987916,-0.033581,0.025049,0.089737,0.599682,1.980904,0.998126,0.009295,-0.069787,0.116425,-0.595994,-1.980985,0.997507,0.008558,0.066854,0.089008,-0.588366,-0.992705,0.995714,0.156530,0.006238,0.038756,-0.603084,0.001213,0.997549,-0.026729,0.016525,0.052391,-0.611371,0.966064,1.010271,-0.082575,-0.101466,0.114892,-0.595650,1.986823,0.997961,0.008310,-0.043608,0.091322
0.280000,0.598092,-1.985657,0.991554,-0.003029,0.041757,0.072392,0.595206,-0.985864,1.003120,0.045280,0.130735,0.103589,0.590606,-0.005295,0.986285,-0.040153,-0.015980,0.083940,0.592161,1.002085,0.989739,-0.033540,0.025322,0.092543,0.599870,1.979511,1.000478,0.009512,-0.069512,0.118766,-0.595824,-1.979651,0.999306,0.008388,0.066522,0.090900,-0.585217,-0.992585,0.996500,0.158434,0.005752,0.039891,-0.603622,0.001544,0.998608,-0.027001,0.016590,0.053606,-0.613028,0.964042,1.012582,-0.083119,-0.100712,0.116234,-0.595486,1.985954,0.999806,0.008102,-0.043325,0.093215
0.300000,0.598033,-1.984825,0.993025,-0.002866,0.041356,0.074770,0.596127,-0.983233,1.005212,0.046800,0.132304,0.105589,0.589803,-0.005614,0.987995,-0.040103,-0.015840,0.087152,0.591491,1.002594,0.991620,-0.033483,0.025613,0.095627,0.600063,1.978124,1.002878,0.009750,-0.069195,0.121328,-0.595659,-1.978324,1.001145,0.008199,0.066141,0.092973,-0.582028,-0.992475,0.997310,0.160497,0.005215,0.041141,-0.604165,0.001877,0.999694,-0.027296,0.016649,0.054941,-0.614696,0.962036,1.014921,-0.083694,-0.099874,0.117698,-0.595326,1.985090,1.001691,0.007871,-0.043002,0.095288
0.320000,0.597977,-1.984003,0.994546,-0.002683,0.040904,0.077354,0.597079,-0.980571,1.007345,0.048460,0.133980,0.107740,0.589002,-0.005929,0.989773,-0.040034,-0.015681,0.090647,0.590822,1.003110,0.993566,-0.033404,0.025918,0.098979,0.600260,1.976744,1.005332,0.010011,-0.068828,0.124099,-0.595497,-1.977006,1.003026,0.007989,0.065707,0.095218,-0.578796,-0.992377,0.998146,0.162691,0.004630,0.042507,-0.604714,0.002210,1.000807,-0.027606,0.016699,0.056394,-0.616376,0.960048,1.017291,-0.084287,-0.098956,0.119277,-0.595171,1.984234,1.003619,0.007614,-0.042635,0.097532
0.340000,0.597926,-1.983190,0.996120,-0.002478,0.040396,0.080137,0.598066,-0.977874,1.009522,0.050259,0.135746,0.110024,0.588202,-0.006241,0.991623,-0.039941,-0.015504,0.094413,0.590155,1.003631,0.995581,-0.033300,0.026235,0.102589,0.600463,1.975371,1.007843,0.010294,-0.068406,0.127065,-0.595339,-1.975696,1.004955,0.007759,0.065214,0.097628,-0.575519,-0.992291,0.999011,0.164990,0.003998,0.043989,-0.605269,0.002545,1.001950,-0.027929,0.016737,0.057964,-0.618068,0.958078,1.019693,-0.084882,-0.097960,0.120966,-0.595022,1.983385,1.005593,0.007331,-0.042220,0.099939
0.360000,0.597878,-1.982387,0.997753,-0.002253,0.039830,0.083117,0.599090,-0.975140,1.011746,0.052197,0.137602,0.112442,0.587404,-0.006549,0.993551,-0.039824,-0.015308,0.098453,0.589490,1.004159,0.997671,-0.033170,0.026562,0.106456,0.600672,1.974008,1.010416,0.010598,-0.067929,0.130227,-0.595186,-1.974398,1.006933,0.007508,0.064663,0.100202,-0.572196,-0.992217,0.999907,0.167394,0.003320,0.045588,-0.605831,0.002880,1.003126,-0.028262,0.016764,0.059651,-0.619771,0.956130,1.022130,-0.085481,-0.096887,0.122764,-0.594878,1.982545,1.007617,0.007022,-0.041757,0.102508
0.380000,0.597836,-1.981597,0.999446,-0.002006,0.039209,0.086297,0.600155,-0.972369,1.014021,0.054274,0.139548,0.114994,0.586609,-0.006853,0.995563,-0.039682,-0.015094,0.102764,0.588828,1.004694,0.999841,-0.033014,0.026900,0.110580,0.600888,1.972655,1.013054,0.010926,-0.067395,0.133585,-0.595039,-1.973110,1.008964,0.007236,0.064053,0.102941,-0.568823,-0.992158,1.000835,0.169902,0.002596,0.047303,-0.606399,0.003215,1.004337,-0.028608,0.016778,0.061454,-0.621487,0.954204,1.024604,-0.086083,-0.095735,0.124671,-0.594741,1.981715,1.009695,0.006686,-0.041247,0.105240
