time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,1.131042,-2.031030,1.001856,-0.218195,0.245762,-0.032333,1.095292,-1.001283,1.004208,0.012110,0.078707,-0.011254,1.108602,-0.004707,1.011268,0.074692,0.023104,-0.004960,1.100252,0.997294,1.005527,-0.012439,-0.057870,-0.017893,1.136429,2.031312,1.001831,-0.244876,-0.253375,-0.032282,-1.136436,-2.031300,1.001831,0.245035,0.253473,-0.032282,-1.100266,-0.997294,1.005527,0.012388,0.057723,-0.017893,-1.108616,0.004667,1.011268,-0.074672,-0.023175,-0.004960,-1.095320,1.001277,1.004208,-0.012090,-0.078818,-0.011254,-1.131220,2.031066,1.001875,0.219053,-0.245802,-0.032405
0.020000,1.126678,-2.026114,1.001209,-0.218256,0.245833,-0.032343,1.095534,-0.999709,1.003982,0.012108,0.078717,-0.011268,1.110096,-0.004245,1.011168,0.074678,0.023114,-0.004981,1.100003,0.996137,1.005169,-0.012451,-0.057872,-0.017910,1.131531,2.026244,1.001185,-0.244947,-0.253447,-0.032292,-1.131535,-2.026230,1.001185,0.245107,0.253544,-0.032291,-1.100018,-0.996139,1.005169,0.012400,0.057725,-0.017910,-1.110110,0.004204,1.011168,-0.074658,-0.023184,-0.004981,-1.095561,0.999701,1.003982,-0.012088,-0.078827,-0.011268,-1.126838,2.026149,1.001227,0.219115,-0.245873,-0.032414
0.040000,1.122311,-2.021196,1.000562,-0.218439,0.246047,-0.032371,1.095776,-0.998134,1.003757,0.012101,0.078746,-0.011309,1.111589,-0.003783,1.011068,0.074636,0.023142,-0.005046,1.099754,0.994979,1.004811,-0.012487,-0.057877,-0.017959,1.126630,2.021173,1.000539,-0.245163,-0.253661,-0.032320,-1.126631,-2.021157,1.000539,0.245322,0.253759,-0.032320,-1.099770,-0.994985,1.004811,0.012437,0.057731,-0.017959,-1.111602,0.003740,1.011068,-0.074616,-0.023212,-0.005045,-1.095803,0.998124,1.003757,-0.012081,-0.078857,-0.011309,-1.122454,2.021230,1.000579,0.219299,-0.246086,-0.032443
0.060000,1.117939,-2.016271,0.999914,-0.218744,0.246402,-0.032419,1.096018,-0.996559,1.003530,0.012089,0.078796,-0.011378,1.113081,-0.003319,1.010966,0.074567,0.023189,-0.005152,1.099504,0.993822,1.004451,-0.012549,-0.057887,-0.018042,1.121723,2.016096,0.999892,-0.245522,-0.254019,-0.032368,-1.121721,-2.016079,0.999892,0.245681,0.254117,-0.032367,-1.099520,-0.993830,1.004451,0.012498,0.057740,-0.018042,-1.113094,0.003275,1.010966,-0.074546,-0.023259,-0.005152,-1.096045,0.996547,1.003530,-0.012069,-0.078906,-0.011379,-1.118065,2.016305,0.999929,0.219606,-0.246442,-0.032491
0.080000,1.113560,-2.011339,0.999265,-0.219171,0.246899,-0.032486,1.096260,-0.994982,1.003301,0.012073,0.078865,-0.011475,1.114572,-0.002855,1.010862,0.074469,0.023255,-0.005302,1.099252,0.992664,1.004089,-0.012634,-0.057900,-0.018157,1.116808,2.011011,0.999244,-0.246024,-0.254520,-0.032434,-1.116803,-2.010992,0.999244,0.246184,0.254618,-0.032434,-1.099269,-0.992675,1.004089,0.012584,0.057754,-0.018157,-1.114584,0.002809,1.010862,-0.074448,-0.023324,-0.005302,-1.096286,0.994968,1.003301,-0.012052,-0.078975,-0.011476,-1.113669,2.011371,0.999279,0.220035,-0.246939,-0.032558
0.100000,1.109172,-2.006395,0.998615,-0.219721,0.247538,-0.032572,1.096501,-0.993404,1.003071,0.012052,0.078954,-0.011600,1.116060,-0.002389,1.010754,0.074344,0.023340,-0.005494,1.098998,0.991506,1.003724,-0.012744,-0.057917,-0.018306,1.111881,2.005915,0.998595,-0.246671,-0.255163,-0.032519,-1.111873,-2.005893,0.998595,0.246830,0.255262,-0.032519,-1.099017,-0.991520,1.003724,0.012694,0.057771,-0.018306,-1.116072,0.002342,1.010754,-0.074323,-0.023408,-0.005494,-1.096527,0.993387,1.003071,-0.012031,-0.079064,-0.011600,-1.109263,2.006426,0.998627,0.220588,-0.247578,-0.032644
0.120000,1.104771,-2.001436,0.997962,-0.220431,0.248366,-0.032683,1.096742,-0.991824,1.002837,0.012024,0.079070,-0.011757,1.117545,-0.001921,1.010641,0.074176,0.023448,-0.005738,1.098742,0.990347,1.003356,-0.012887,-0.057942,-0.018493,1.106940,2.000803,0.997944,-0.247505,-0.255996,-0.032630,-1.106928,-2.000780,0.997944,0.247664,0.256094,-0.032630,-1.098761,-0.990364,1.003356,0.012837,0.057795,-0.018493,-1.117557,0.001873,1.010642,-0.074154,-0.023516,-0.005738,-1.096767,0.991805,1.002837,-0.012002,-0.079180,-0.011757,-1.104845,2.001467,0.997973,0.221302,-0.248406,-0.032756
0.140000,1.100353,-1.996458,0.997307,-0.221342,0.249428,-0.032825,1.096982,-0.990241,1.002600,0.011985,0.079220,-0.011951,1.119026,-0.001451,1.010524,0.073950,0.023585,-0.006044,1.098482,0.989188,1.002984,-0.013070,-0.057978,-0.018725,1.101980,1.995673,0.997290,-0.248572,-0.257063,-0.032772,-1.101965,-1.995648,0.997290,0.248732,0.257161,-0.032772,-1.098503,-0.989208,1.002984,0.013020,0.057831,-0.018725,-1.119038,0.001401,1.010524,-0.073928,-0.023651,-0.006044,-1.097007,0.990220,1.002600,-0.011963,-0.079331,-0.011951,-1.100410,1.996489,0.997317,0.222218,-0.249470,-0.032899
0.160000,1.095916,-1.991457,0.996649,-0.222453,0.250726,-0.032999,1.097221,-0.988655,1.002359,0.011935,0.079405,-0.012181,1.120503,-0.000978,1.010399,0.073666,0.023749,-0.006412,1.098219,0.988028,1.002607,-0.013294,-0.058024,-0.019001,1.096996,1.990519,0.996632,-0.249872,-0.258363,-0.032945,-1.096977,-1.990492,0.996632,0.250031,0.258462,-0.032945,-1.098240,-0.988051,1.002607,0.013244,0.057877,-0.019001,-1.120514,0.000927,1.010399,-0.073645,-0.023815,-0.006412,-1.097246,0.988632,1.002359,-0.011912,-0.079516,-0.012181,-1.095955,1.991487,0.996657,0.223335,-0.250768,-0.033074
0.180000,1.091454,-1.986428,0.995987,-0.223765,0.252259,-0.033205,1.097459,-0.987064,1.002113,0.011874,0.079625,-0.012448,1.121973,-0.000501,1.010267,0.073324,0.023943,-0.006842,1.097950,0.986867,1.002224,-0.013558,-0.058082,-0.019322,1.091983,1.985337,0.995972,-0.251405,-0.259898,-0.033149,-1.091962,-1.985308,0.995972,0.251564,0.259997,-0.033149,-1.097973,-0.986893,1.002224,0.013508,0.057935,-0.019322,-1.121983,0.000449,1.010267,-0.073303,-0.024007,-0.006842,-1.097483,0.987039,1.002113,-0.011851,-0.079735,-0.012448,-1.091475,1.986456,0.995993,0.224654,-0.252302,-0.033280
