time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,-0.509903,-0.503449,0.995464,0.029311,-0.204217,0.020173,-0.484457,0.004711,0.998453,-0.324946,0.004874,0.005736,-0.487570,0.511788,0.994879,0.018105,0.196992,0.018659,-0.002547,-0.494804,0.994809,-0.159275,0.059382,0.019084,-0.017247,-0.002580,0.998683,0.372722,-0.000920,0.009689,-0.000231,0.498296,0.994547,-0.155907,-0.057079,0.024705,0.487569,-0.511787,0.994879,-0.018101,-0.196991,0.018659,0.484449,-0.004713,0.998453,0.324959,-0.004878,0.005736,0.509898,0.503455,0.995464,-0.029315,0.204231,0.020173
0.010000,-0.509610,-0.505491,0.995666,0.029317,-0.204217,0.020175,-0.487707,0.004759,0.998510,-0.324953,0.004871,0.005738,-0.487389,0.513758,0.995066,0.018098,0.196989,0.018662,-0.004140,-0.494210,0.995000,-0.159272,0.059379,0.019087,-0.013520,-0.002589,0.998780,0.372729,-0.000919,0.009690,-0.001790,0.497725,0.994794,-0.155906,-0.057079,0.024708,0.487388,-0.513757,0.995066,-0.018094,-0.196988,0.018662,0.487699,-0.004761,0.998510,0.324965,-0.004875,0.005738,0.509605,0.505497,0.995666,-0.029320,0.204232,0.020175
0.020000,-0.509317,-0.507533,0.995868,0.029334,-0.204219,0.020182,-0.490956,0.004808,0.998567,-0.324972,0.004861,0.005743,-0.487208,0.515727,0.995252,0.018079,0.196979,0.018670,-0.005732,-0.493616,0.995191,-0.159263,0.059371,0.019095,-0.009793,-0.002599,0.998876,0.372750,-0.000913,0.009694,-0.003349,0.497154,0.995041,-0.155902,-0.057076,0.024717,0.487207,-0.515726,0.995253,-0.018075,-0.196978,0.018670,0.490948,-0.004810,0.998567,0.324984,-0.004866,0.005743,0.509312,0.507539,0.995868,-0.029337,0.204233,0.020182
0.030000,-0.509023,-0.509575,0.996069,0.029362,-0.204222,0.020195,-0.494206,0.004857,0.998625,-0.325003,0.004846,0.005750,-0.487027,0.517697,0.995439,0.018046,0.196962,0.018684,-0.007325,-0.493022,0.995382,-0.159249,0.059357,0.019109,-0.006065,-0.002608,0.998973,0.372785,-0.000905,0.009702,-0.004908,0.496584,0.995288,-0.155896,-0.057072,0.024731,0.487027,-0.517696,0.995439,-0.018042,-0.196961,0.018684,0.494198,-0.004859,0.998625,0.325016,-0.004850,0.005750,0.509018,0.509582,0.996069,-0.029365,0.204236,0.020195
0.040000,-0.508729,-0.511617,0.996271,0.029401,-0.204225,0.020212,-0.497456,0.004905,0.998682,-0.325047,0.004824,0.005761,-0.486847,0.519667,0.995626,0.018001,0.196939,0.018703,-0.008917,-0.492429,0.995573,-0.159229,0.059337,0.019129,-0.002337,-0.002617,0.999071,0.372833,-0.000893,0.009712,-0.006467,0.496013,0.995536,-0.155888,-0.057067,0.024752,0.486847,-0.519666,0.995626,-0.017996,-0.196938,0.018703,0.497449,-0.004907,0.998682,0.325060,-0.004828,0.005761,0.508724,0.511624,0.996271,-0.029404,0.204240,0.020212
0.050000,-0.508435,-0.513660,0.996474,0.029452,-0.204230,0.020234,-0.500707,0.004953,0.998740,-0.325104,0.004796,0.005776,-0.486667,0.521636,0.995813,0.017942,0.196909,0.018728,-0.010510,-0.491836,0.995764,-0.159204,0.059311,0.019154,0.001392,-0.002625,0.999168,0.372895,-0.000878,0.009725,-0.008025,0.495442,0.995783,-0.155878,-0.057059,0.024778,0.486667,-0.521635,0.995813,-0.017938,-0.196908,0.018728,0.500700,-0.004955,0.998740,0.325117,-0.004800,0.005776,0.508430,0.513666,0.996474,-0.029455,0.204245,0.020234
0.060000,-0.508140,-0.515702,0.996676,0.029514,-0.204236,0.020262,-0.503959,0.005001,0.998798,-0.325174,0.004762,0.005793,-0.486488,0.523605,0.996001,0.017870,0.196873,0.018759,-0.012101,-0.491243,0.995956,-0.159173,0.059280,0.019185,0.005121,-0.002634,0.999265,0.372972,-0.000860,0.009741,-0.009584,0.494872,0.996031,-0.155865,-0.057050,0.024811,0.486488,-0.523604,0.996001,-0.017866,-0.196872,0.018759,0.503951,-0.005003,0.998798,0.325187,-0.004766,0.005793,0.508135,0.515709,0.996676,-0.029517,0.204251,0.020262
0.070000,-0.507845,-0.517744,0.996879,0.029587,-0.204244,0.020294,-0.507211,0.005048,0.998856,-0.325256,0.004721,0.005813,-0.486310,0.525573,0.996189,0.017785,0.196830,0.018795,-0.013693,-0.490650,0.996148,-0.159136,0.059243,0.019221,0.008851,-0.002643,0.999363,0.373062,-0.000838,0.009760,-0.011143,0.494301,0.996280,-0.155850,-0.057040,0.024849,0.486310,-0.525572,0.996189,-0.017781,-0.196829,0.018795,0.507203,-0.005050,0.998856,0.325269,-0.004726,0.005813,0.507840,0.517751,0.996879,-0.029590,0.204258,0.020294
0.080000,-0.507549,-0.519787,0.997082,0.029671,-0.204252,0.020331,-0.510464,0.005095,0.998914,-0.325351,0.004675,0.005837,-0.486133,0.527541,0.996377,0.017687,0.196780,0.018836,-0.015284,-0.490058,0.996340,-0.159094,0.059200,0.019263,0.012582,-0.002651,0.999460,0.373166,-0.000813,0.009782,-0.012701,0.493731,0.996528,-0.155833,-0.057028,0.024893,0.486132,-0.527540,0.996377,-0.017683,-0.196779,0.018836,0.510457,-0.005097,0.998914,0.325363,-0.004679,0.005837,0.507543,0.519794,0.997082,-0.029674,0.204266,0.020331
0.090000,-0.507251,-0.521829,0.997286,0.029767,-0.204261,0.020373,-0.513718,0.005142,0.998973,-0.325458,0.004622,0.005864,-0.485956,0.529509,0.996565,0.017577,0.196724,0.018883,-0.016875,-0.489466,0.996533,-0.159046,0.059152,0.019311,0.016315,-0.002659,0.999558,0.373284,-0.000784,0.009806,-0.014259,0.493161,0.996777,-0.155813,-0.057014,0.024943,0.485956,-0.529508,0.996565,-0.017572,-0.196723,0.018883,0.513711,-0.005144,0.998973,0.325471,-0.004626,0.005864,0.507246,0.521837,0.997286,-0.029770,0.204276,0.020373
0.100000,-0.506953,-0.523872,0.997489,0.029874,-0.204271,0.020420,-0.516973,0.005188,0.999031,-0.325578,0.004563,0.005893,-0.485781,0.531476,0.996754,0.017453,0.196661,0.018936,-0.018465,-0.488875,0.996727,-0.158992,0.059098,0.019364,0.020048,-0.002667,0.999656,0.373416,-0.000752,0.009834,-0.015817,0.492591,0.997027,-0.155791,-0.056999,0.024998,0.485781,-0.531475,0.996754,-0.017448,-0.196660,0.018936,0.516966,-0.005190,0.999031,0.325591,-0.004567,0.005893,0.506948,0.523880,0.997489,-0.029876,0.204286,0.020420
0.110000,-0.506654,-0.525915,0.997694,0.029993,-0.204279,0.020473,-0.520229,0.005233,0.999091,-0.325704,0.004493,0.005928,-0.485607,0.533442,0.996944,0.017312,0.196585,0.018995,-0.020055,-0.488284,0.996921,-0.158927,0.059035,0.019424,0.023783,-0.002674,0.999755,0.373553,-0.000715,0.009866,-0.017375,0.492021,0.997277,-0.155762,-0.056980,0.025061,0.485607,-0.533441,0.996944,-0.017308,-0.196584,0.018995,0.520223,-0.005235,0.999091,0.325717,-0.004497,0.005928,0.506649,0.525923,0.997694,-0.029996,0.204293,0.020473
0.120000,-0.506353,-0.527958,0.997899,0.030128,-0.204279,0.020533,-0.523487,0.005278,0.999150,-0.325830,0.004407,0.005970,-0.485435,0.535408,0.997134,0.017151,0.196489,0.019061,-0.021644,-0.487694,0.997115,-0.158843,0.058961,0.019490,0.027519,-0.002681,0.999854,0.373689,-0.000669,0.009904,-0.018933,0.491451,0.997528,-0.155722,-0.056956,0.025132,0.485435,-0.535406,0.997134,-0.017147,-0.196488,0.019061,0.523480,-0.005280,0.999150,0.325843,-0.004411,0.005970,0.506348,0.527965,0.997899,-0.030131,0.204293,0.020533
0.130000,-0.506051,-0.530000,0.998105,0.030278,-0.204271,0.020600,-0.526746,0.005321,0.999210,-0.325956,0.004306,0.006019,-0.485264,0.537372,0.997325,0.016970,0.196374,0.019134,-0.023231,-0.487105,0.997310,-0.158740,0.058874,0.019564,0.031257,-0.002687,0.999953,0.373822,-0.000615,0.009949,-0.020490,0.490882,0.997780,-0.155671,-0.056926,0.025212,0.485264,-0.537371,0.997325,-0.016966,-0.196374,0.019134,0.526739,-0.005323,0.999210,0.325969,-0.004310,0.006019,0.506046,0.530008,0.998105,-0.030281,0.204285,0.020600
