time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.000000,1.178371,-2.024369,1.000202,0.066601,0.675156,0.037350,1.105946,-0.963930,0.998964,0.171398,0.579970,0.047482,1.035568,0.046899,1.001017,-0.143772,0.390897,0.006518,1.057322,1.036406,1.002332,-0.427774,0.238901,0.004848,1.090195,2.052217,0.999252,-0.851582,-0.204382,0.020892,-1.100557,-2.054265,0.998592,0.814888,0.425522,0.037683,-1.068292,-1.043759,0.997943,0.473969,0.027293,0.036934,-1.062936,-0.050004,0.999230,0.194442,-0.329015,0.021949,-1.106719,0.936147,0.997148,0.154743,-0.522172,0.036095,-1.198635,1.999064,0.997286,0.043236,-0.699435,0.024665
0.020000,1.179702,-2.010866,1.000949,0.066458,0.675218,0.037351,1.109374,-0.952331,0.999913,0.171394,0.579922,0.047486,1.032694,0.054716,1.001148,-0.143647,0.390823,0.006517,1.048767,1.041183,1.002429,-0.427703,0.238840,0.004844,1.073163,2.048129,0.999670,-0.851590,-0.204486,0.020895,-1.084259,-2.045754,0.999346,0.814918,0.425632,0.037687,-1.058813,-1.043212,0.998682,0.473917,0.027368,0.036939,-1.059047,-0.056584,0.999669,0.194369,-0.328932,0.021951,-1.103624,0.925704,0.997870,0.154748,-0.522070,0.036101,-1.197769,1.985075,0.997780,0.043415,-0.699450,0.024671
0.040000,1.181027,-1.997360,1.001696,0.066028,0.675404,0.037352,1.112801,-0.940733,1.000863,0.171383,0.579777,0.047495,1.029824,0.062531,1.001278,-0.143272,0.390600,0.006513,1.040215,1.045959,1.002526,-0.427488,0.238656,0.004833,1.056131,2.044036,1.000088,-0.851612,-0.204799,0.020903,-1.067959,-2.037238,1.000100,0.815008,0.425961,0.037699,-1.049336,-1.042663,0.999420,0.473762,0.027594,0.036954,-1.055162,-0.063160,1.000108,0.194150,-0.328683,0.021959,-1.100529,0.915265,0.998592,0.154763,-0.521764,0.036121,-1.196896,1.971086,0.998273,0.043950,-0.699496,0.024690
0.060000,1.182341,-1.983849,1.002443,0.065312,0.675713,0.037355,1.116229,-0.929140,1.001813,0.171366,0.579536,0.047511,1.026964,0.070339,1.001408,-0.142648,0.390230,0.006507,1.031669,1.050729,1.002623,-0.427130,0.238349,0.004814,1.039099,2.039935,1.000506,-0.851649,-0.205319,0.020915,-1.051658,-2.028714,1.000854,0.815157,0.426510,0.037718,-1.039863,-1.042107,1.000160,0.473503,0.027970,0.036980,-1.051282,-0.069730,1.000547,0.193785,-0.328269,0.021971,-1.097434,0.904835,0.999315,0.154789,-0.521255,0.036154,-1.196009,1.957095,0.998767,0.044842,-0.699571,0.024722
0.080000,1.183638,-1.970330,1.003190,0.064309,0.676146,0.037359,1.119656,-0.917553,1.002764,0.171341,0.579198,0.047534,1.024120,0.078139,1.001538,-0.141774,0.389710,0.006499,1.023131,1.055492,1.002719,-0.426628,0.237919,0.004788,1.022065,2.035822,1.000925,-0.851701,-0.206048,0.020933,-1.035353,-2.020176,1.001609,0.815366,0.427278,0.037745,-1.030396,-1.041543,1.000900,0.473140,0.028496,0.037015,-1.047411,-0.076290,1.000987,0.193275,-0.327689,0.021988,-1.094338,0.894417,1.000038,0.154825,-0.520542,0.036200,-1.195100,1.943103,0.999262,0.046091,-0.699676,0.024767
0.100000,1.184912,-1.956802,1.003937,0.063020,0.676703,0.037363,1.123082,-0.905973,1.003714,0.171310,0.578764,0.047563,1.021295,0.085927,1.001668,-0.140650,0.389043,0.006489,1.014604,1.060245,1.002814,-0.425983,0.237366,0.004754,1.005031,2.031692,1.001344,-0.851768,-0.206985,0.020956,-1.019043,-2.011621,1.002364,0.815636,0.428265,0.037779,-1.020938,-1.040967,1.001640,0.472674,0.029173,0.037061,-1.043552,-0.082836,1.001427,0.192619,-0.326944,0.022010,-1.091241,0.884015,1.000763,0.154870,-0.519624,0.036259,-1.194163,1.929108,0.999758,0.047696,-0.699811,0.024824
0.120000,1.186156,-1.943262,1.004685,0.061332,0.677358,0.037367,1.126508,-0.894403,1.004666,0.171254,0.578140,0.047597,1.018496,0.093699,1.001798,-0.139158,0.388140,0.006478,1.006093,1.064985,1.002909,-0.425089,0.236617,0.004712,0.987995,2.027541,1.001763,-0.851766,-0.208191,0.020987,-1.002727,-2.003044,1.003120,0.815910,0.429508,0.037821,-1.011491,-1.040375,1.002382,0.472010,0.030044,0.037119,-1.039708,-0.089366,1.001867,0.191729,-0.325940,0.022039,-1.088143,0.873634,1.001489,0.154895,-0.518374,0.036334,-1.193189,1.915111,1.000255,0.049779,-0.699909,0.024900
0.140000,1.187362,-1.929707,1.005432,0.059134,0.678088,0.037368,1.129932,-0.882849,1.005618,0.171158,0.577233,0.047635,1.015732,0.101450,1.001927,-0.137180,0.386918,0.006466,0.997603,1.069708,1.003002,-0.423838,0.235597,0.004660,0.970961,2.023362,1.002183,-0.851613,-0.209725,0.021027,-0.986407,-1.994439,1.003877,0.816134,0.431041,0.037871,-1.002059,-1.039763,1.003125,0.471052,0.031154,0.037189,-1.035885,-0.095872,1.002308,0.190519,-0.324586,0.022075,-1.085045,0.863283,1.002216,0.154865,-0.516662,0.036426,-1.192168,1.901113,1.000754,0.052459,-0.699903,0.024998
0.160000,1.188518,-1.916138,1.006179,0.056427,0.678893,0.037367,1.133354,-0.871316,1.006571,0.171021,0.576045,0.047678,1.013012,0.109174,1.002057,-0.134716,0.385374,0.006456,0.989142,1.074407,1.003095,-0.422231,0.234308,0.004599,0.953931,2.019150,1.002604,-0.851307,-0.211588,0.021077,-0.970082,-1.985800,1.004635,0.816308,0.432864,0.037928,-0.992650,-1.039127,1.003870,0.469801,0.032502,0.037273,-1.032089,-0.102347,1.002750,0.188989,-0.322881,0.022120,-1.081949,0.852970,1.002946,0.154782,-0.514488,0.036536,-1.191087,1.887115,1.001255,0.055737,-0.699793,0.025118
0.180000,1.189615,-1.902551,1.006927,0.053210,0.679772,0.037362,1.136773,-0.859809,1.007525,0.170844,0.574574,0.047724,1.010347,0.116863,1.002186,-0.131767,0.383510,0.006445,0.980716,1.079078,1.003186,-0.420269,0.232749,0.004528,0.936910,2.014896,1.003026,-0.850848,-0.213781,0.021136,-0.953755,-1.977122,1.005394,0.816433,0.434979,0.037994,-0.983269,-1.038462,1.004616,0.468257,0.034089,0.037369,-1.028328,-0.108785,1.003193,0.187138,-0.320826,0.022173,-1.078854,0.842706,1.003678,0.154645,-0.511851,0.036664,-1.189934,1.873122,1.001759,0.059612,-0.699578,0.025261
