time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s]
0.000000,0.996456,-0.996299,1.004529,0.011709,0.007806,0.052820,1.002135,-0.000108,1.009773,0.019870,0.000307,0.023232,0.996664,0.996390,1.004334,0.011454,-0.008374,0.053374,0.002478,-1.001884,1.009709,0.015073,-0.019019,0.023301,0.013520,-0.004838,1.002249,-0.141743,0.051419,0.041051,0.002609,1.001834,1.009783,0.014769,0.019029,0.023235,-0.998150,-0.996876,1.003655,0.027177,-0.027971,0.052380,-0.996256,0.000638,1.003221,-0.039521,-0.056386,0.055126,-0.998297,0.996854,1.003609,0.027864,0.027582,0.052598
0.010000,0.996573,-0.996221,1.005057,0.011711,0.007804,0.052819,1.002334,-0.000105,1.010005,0.019869,0.000307,0.023230,0.996778,0.996306,1.004868,0.011456,-0.008372,0.053374,0.002629,-1.002075,1.009942,0.015071,-0.019018,0.023298,0.012102,-0.004323,1.002659,-0.141748,0.051420,0.041052,0.002757,1.002024,1.010016,0.014767,0.019027,0.023232,-0.997879,-0.997156,1.004178,0.027176,-0.027972,0.052381,-0.996651,0.000074,1.003773,-0.039523,-0.056386,0.055127,-0.998019,0.997130,1.004135,0.027863,0.027583,0.052598
0.020000,0.996690,-0.996143,1.005585,0.011715,0.007798,0.052819,1.002533,-0.000102,1.010238,0.019863,0.000307,0.023221,0.996893,0.996223,1.005402,0.011460,-0.008367,0.053374,0.002779,-1.002265,1.010175,0.015066,-0.019013,0.023290,0.010685,-0.003809,1.003070,-0.141763,0.051426,0.041056,0.002904,1.002214,1.010248,0.014762,0.019023,0.023224,-0.997607,-0.997436,1.004702,0.027172,-0.027975,0.052382,-0.997047,-0.000490,1.004324,-0.039527,-0.056385,0.055128,-0.997740,0.997406,1.004661,0.027860,0.027586,0.052599
0.030000,0.996808,-0.996065,1.006113,0.011723,0.007789,0.052819,1.002731,-0.000099,1.010470,0.019855,0.000307,0.023208,0.997007,0.996139,1.005935,0.011467,-0.008358,0.053374,0.002930,-1.002455,1.010408,0.015058,-0.019005,0.023277,0.009267,-0.003295,1.003480,-0.141787,0.051434,0.041062,0.003052,1.002405,1.010480,0.014754,0.019015,0.023211,-0.997335,-0.997715,1.005226,0.027166,-0.027981,0.052383,-0.997442,-0.001053,1.004875,-0.039533,-0.056383,0.055131,-0.997461,0.997682,1.005187,0.027854,0.027592,0.052601
0.040000,0.996925,-0.995987,1.006641,0.011734,0.007776,0.052818,1.002930,-0.000096,1.010702,0.019843,0.000307,0.023189,0.997122,0.996056,1.006469,0.011478,-0.008345,0.053374,0.003081,-1.002645,1.010641,0.015047,-0.018994,0.023258,0.007849,-0.002781,1.003891,-0.141821,0.051446,0.041070,0.003199,1.002595,1.010712,0.014742,0.019004,0.023192,-0.997064,-0.997995,1.005750,0.027158,-0.027989,0.052386,-0.997837,-0.001617,1.005426,-0.039543,-0.056381,0.055136,-0.997183,0.997958,1.005713,0.027846,0.027600,0.052604
0.050000,0.997042,-0.995909,1.007170,0.011748,0.007759,0.052817,1.003128,-0.000093,1.010934,0.019827,0.000308,0.023165,0.997237,0.995972,1.007003,0.011490,-0.008328,0.053374,0.003231,-1.002835,1.010873,0.015033,-0.018980,0.023234,0.006431,-0.002266,1.004302,-0.141865,0.051462,0.041081,0.003347,1.002785,1.010944,0.014727,0.018991,0.023168,-0.996792,-0.998275,1.006274,0.027146,-0.027999,0.052389,-0.998233,-0.002181,1.005978,-0.039555,-0.056377,0.055141,-0.996904,0.998234,1.006239,0.027835,0.027610,0.052607
0.060000,0.997160,-0.995832,1.007698,0.011765,0.007739,0.052815,1.003326,-0.000090,1.011165,0.019809,0.000309,0.023135,0.997352,0.995889,1.007537,0.011506,-0.008308,0.053374,0.003381,-1.003024,1.011105,0.015016,-0.018963,0.023205,0.005012,-0.001751,1.004712,-0.141919,0.051481,0.041094,0.003494,1.002974,1.011176,0.014709,0.018974,0.023138,-0.996521,-0.998555,1.006798,0.027133,-0.028012,0.052392,-0.998628,-0.002745,1.006529,-0.039570,-0.056373,0.055147,-0.996626,0.998510,1.006765,0.027823,0.027623,0.052610
0.070000,0.997278,-0.995754,1.008226,0.011785,0.007714,0.052814,1.003524,-0.000087,1.011396,0.019786,0.000309,0.023100,0.997467,0.995806,1.008070,0.011525,-0.008285,0.053374,0.003531,-1.003214,1.011337,0.014995,-0.018943,0.023170,0.003592,-0.001236,1.005123,-0.141982,0.051504,0.041110,0.003641,1.003164,1.011407,0.014688,0.018954,0.023103,-0.996249,-0.998835,1.007322,0.027117,-0.028026,0.052396,-0.999024,-0.003308,1.007081,-0.039587,-0.056369,0.055155,-0.996348,0.998786,1.007291,0.027808,0.027638,0.052615
0.080000,0.997396,-0.995677,1.008754,0.011808,0.007686,0.052812,1.003722,-0.000084,1.011627,0.019761,0.000310,0.023060,0.997583,0.995723,1.008604,0.011547,-0.008257,0.053373,0.003681,-1.003403,1.011569,0.014971,-0.018919,0.023131,0.002172,-0.000721,1.005535,-0.142056,0.051530,0.041128,0.003788,1.003354,1.011638,0.014663,0.018931,0.023063,-0.995978,-0.999116,1.007846,0.027099,-0.028044,0.052401,-0.999420,-0.003872,1.007632,-0.039607,-0.056363,0.055164,-0.996070,0.999063,1.007817,0.027790,0.027655,0.052620
0.090000,0.997514,-0.995601,1.009282,0.011834,0.007655,0.052810,1.003920,-0.000081,1.011857,0.019731,0.000311,0.023014,0.997698,0.995641,1.009138,0.011571,-0.008226,0.053373,0.003831,-1.003592,1.011800,0.014944,-0.018893,0.023085,0.000751,-0.000206,1.005946,-0.142139,0.051559,0.041148,0.003934,1.003543,1.011868,0.014635,0.018905,0.023017,-0.995707,-0.999396,1.008370,0.027078,-0.028063,0.052407,-0.999816,-0.004436,1.008184,-0.039630,-0.056357,0.055174,-0.995792,0.999339,1.008344,0.027771,0.027675,0.052626
