time[s],drone0_posx[m],drone0_posy[m],drone0_posz[m],drone0_velx[m/s],drone0_vely[m/s],drone0_velz[m/s],drone1_posx[m],drone1_posy[m],drone1_posz[m],drone1_velx[m/s],drone1_vely[m/s],drone1_velz[m/s],drone2_posx[m],drone2_posy[m],drone2_posz[m],drone2_velx[m/s],drone2_vely[m/s],drone2_velz[m/s],drone3_posx[m],drone3_posy[m],drone3_posz[m],drone3_velx[m/s],drone3_vely[m/s],drone3_velz[m/s],drone4_posx[m],drone4_posy[m],drone4_posz[m],drone4_velx[m/s],drone4_vely[m/s],drone4_velz[m/s],drone5_posx[m],drone5_posy[m],drone5_posz[m],drone5_velx[m/s],drone5_vely[m/s],drone5_velz[m/s],drone6_posx[m],drone6_posy[m],drone6_posz[m],drone6_velx[m/s],drone6_vely[m/s],drone6_velz[m/s],drone7_posx[m],drone7_posy[m],drone7_posz[m],drone7_velx[m/s],drone7_vely[m/s],drone7_velz[m/s],drone8_posx[m],drone8_posy[m],drone8_posz[m],drone8_velx[m/s],drone8_vely[m/s],drone8_velz[m/s],drone9_posx[m],drone9_posy[m],drone9_posz[m],drone9_velx[m/s],drone9_vely[m/s],drone9_velz[m/s]
0.200000,1.515569,-0.999213,0.996200,0.075675,-0.031655,0.086423,0.738468,-1.011897,1.003264,-0.115442,-0.095736,0.154776,-0.015649,-1.008739,1.000847,-0.085942,-0.067565,0.163462,-0.756613,-0.990900,1.016772,-0.091021,0.104316,0.246411,-1.516332,-1.014202,0.998071,-0.101540,-0.069208,0.132240,1.513173,1.005316,1.000670,0.088400,0.025851,0.059627,0.767517,1.044145,0.994853,0.137560,0.243802,0.067360,-0.001540,1.000826,1.009938,-0.023931,0.018987,0.112050,-0.778085,1.007581,0.994402,-0.142130,0.077372,0.026401,-1.521846,1.005907,0.998404,-0.086777,0.076127,0.082642
0.220000,1.517080,-0.999850,0.997940,0.075449,-0.032023,0.087551,0.736153,-1.013814,1.006373,-0.115984,-0.095981,0.156221,-0.017367,-1.010091,1.004133,-0.085892,-0.067710,0.165172,-0.758439,-0.988808,1.021716,-0.091541,0.104875,0.248011,-1.518363,-1.015584,1.000730,-0.101557,-0.069023,0.133729,1.514941,1.005832,1.001868,0.088474,0.025759,0.060204,0.770271,1.049018,0.996210,0.137897,0.243537,0.068366,-0.002020,1.001207,1.012185,-0.024066,0.019102,0.112608,-0.780924,1.009131,0.994936,-0.141818,0.077683,0.027028,-1.523577,1.007434,1.000066,-0.086286,0.076547,0.083590
0.240000,1.518586,-1.000495,0.999703,0.075146,-0.032441,0.088820,0.733828,-1.015736,1.009514,-0.116585,-0.096227,0.157829,-0.019084,-1.011447,1.007455,-0.085809,-0.067852,0.167088,-0.760275,-0.986705,1.026694,-0.092106,0.105494,0.249772,-1.520394,-1.016962,1.003421,-0.101534,-0.068773,0.135394,1.516711,1.006346,1.003079,0.088521,0.025633,0.060846,0.773033,1.053885,0.997588,0.138240,0.243122,0.069499,-0.002503,1.001590,1.014443,-0.024206,0.019222,0.113212,-0.783757,1.010688,0.995483,-0.141381,0.078008,0.027744,-1.525297,1.008970,1.001748,-0.085672,0.077011,0.084651
0.260000,1.520085,-1.001148,1.001494,0.074766,-0.032910,0.090230,0.731490,-1.017663,1.012688,-0.117245,-0.096474,0.159600,-0.020799,-1.012805,1.010818,-0.085695,-0.067990,0.169210,-0.762123,-0.984588,1.031708,-0.092717,0.106173,0.251693,-1.522424,-1.018335,1.006147,-0.101470,-0.068459,0.137236,1.518482,1.006857,1.004302,0.088543,0.025473,0.061553,0.775801,1.058742,0.998991,0.138590,0.242559,0.070759,-0.002988,1.001976,1.016713,-0.024352,0.019348,0.113862,-0.786579,1.012252,0.996046,-0.140819,0.078348,0.028550,-1.527003,1.010515,1.003453,-0.084935,0.077517,0.085825
0.280000,1.521576,-1.001811,1.003313,0.074308,-0.033429,0.091780,0.729138,-1.019595,1.015899,-0.117964,-0.096721,0.161533,-0.022512,-1.014167,1.014225,-0.085550,-0.068125,0.171539,-0.763984,-0.982457,1.036763,-0.093373,0.106913,0.253775,-1.524452,-1.019700,1.008912,-0.101367,-0.068079,0.139254,1.520253,1.007365,1.005541,0.088538,0.025280,0.062325,0.778576,1.063586,1.000420,0.138946,0.241846,0.072146,-0.003477,1.002364,1.018998,-0.024504,0.019481,0.114559,-0.789389,1.013822,0.996626,-0.140132,0.078703,0.029446,-1.528693,1.012070,1.005182,-0.084075,0.078066,0.087111
0.300000,1.523057,-1.002485,1.005166,0.073772,-0.033998,0.093471,0.726771,-1.021532,1.019150,-0.118741,-0.096968,0.163630,-0.024221,-1.015530,1.017681,-0.085373,-0.068256,0.174074,-0.765858,-0.980311,1.041860,-0.094075,0.107712,0.256018,-1.526478,-1.021057,1.011718,-0.101224,-0.067634,0.141448,1.522023,1.007868,1.006796,0.088508,0.025053,0.063163,0.781359,1.068415,1.001877,0.139309,0.240983,0.073660,-0.003968,1.002755,1.021296,-0.024662,0.019619,0.115302,-0.792183,1.015400,0.997224,-0.139320,0.079072,0.030431,-1.530365,1.013638,1.006938,-0.083093,0.078658,0.088511
0.320000,1.524526,-1.003172,1.007053,0.073139,-0.034620,0.095290,0.724388,-1.023474,1.022445,-0.119580,-0.097206,0.165864,-0.025927,-1.016897,1.021189,-0.085163,-0.068377,0.176793,-0.767747,-0.978148,1.047004,-0.094816,0.108573,0.258389,-1.528501,-1.022405,1.014571,-0.101026,-0.067106,0.143795,1.523793,1.008366,1.008068,0.088439,0.024781,0.064057,0.784149,1.073224,1.003367,0.139671,0.239933,0.075288,-0.004463,1.003149,1.023610,-0.024818,0.019759,0.116079,-0.794960,1.016985,0.997844,-0.138349,0.079447,0.031504,-1.532016,1.015217,1.008723,-0.081965,0.079292,0.090008
0.340000,1.525982,-1.003871,1.008978,0.072388,-0.035300,0.097222,0.721987,-1.025420,1.025785,-0.120484,-0.097424,0.168206,-0.027627,-1.018265,1.024754,-0.084917,-0.068481,0.179674,-0.769651,-0.975968,1.052197,-0.095589,0.109494,0.260858,-1.530519,-1.023741,1.017471,-0.100760,-0.066477,0.146271,1.525561,1.008859,1.009358,0.088320,0.024452,0.064998,0.786946,1.078011,1.004890,0.140024,0.238655,0.077017,-0.004961,1.003546,1.025939,-0.024966,0.019897,0.116878,-0.797716,1.018578,0.998485,-0.137185,0.079820,0.032660,-1.533643,1.016810,1.010539,-0.080670,0.079967,0.091590
0.360000,1.527421,-1.004584,1.010943,0.071518,-0.036036,0.099268,0.719568,-1.027371,1.029174,-0.121451,-0.097624,0.170658,-0.029323,-1.019636,1.028377,-0.084636,-0.068567,0.182716,-0.771571,-0.973768,1.057439,-0.096395,0.110477,0.263425,-1.532531,-1.025063,1.020422,-0.100426,-0.065747,0.148875,1.527325,1.009344,1.010668,0.088151,0.024067,0.065985,0.789749,1.082769,1.006448,0.140369,0.237150,0.078848,-0.005462,1.003945,1.028285,-0.025105,0.020033,0.117699,-0.800446,1.020178,0.999151,-0.135829,0.080190,0.033899,-1.535242,1.018416,1.012387,-0.079208,0.080683,0.093256
0.380000,1.528842,-1.005313,1.012950,0.070530,-0.036830,0.101428,0.717129,-1.029325,1.032612,-0.122482,-0.097804,0.173219,-0.031013,-1.021008,1.032063,-0.084320,-0.068636,0.185920,-0.773507,-0.971548,1.062734,-0.097234,0.111520,0.266089,-1.534535,-1.026370,1.023427,-0.100023,-0.064915,0.151609,1.529086,1.009821,1.011998,0.087932,0.023625,0.067019,0.792560,1.087495,1.008044,0.140705,0.235417,0.080781,-0.005965,1.004347,1.030648,-0.025236,0.020167,0.118543,-0.803148,1.021785,0.999842,-0.134280,0.080558,0.035223,-1.536810,1.020037,1.014270,-0.077578,0.081439,0.095007
